"","pVal","phase","peak.shape","period"
"295",3.66382656061944e-07,4,6,24
"296",1.57064832566552e-06,6,6,24
"297",7.48126046342281e-06,4,6,24
"298",8.24161306324479e-06,2,10,24
"299",1.05255979773516e-05,4,8,24
"300",1.90412380875556e-10,4,8,24
"301",7.13058942769211e-09,4,8,24
"302",5.44833119314099e-06,4,8,24
"303",4.40329787807593e-05,4,8,24
"304",4.01600384008061e-06,4,8,24
"305",1.1152666395413e-06,6,6,24
"306",1.73823111879345e-05,4,8,24
"307",1.25290794258613e-05,4,8,24
"308",1.33671783614438e-06,6,6,24
"309",1.53953636221166e-08,4,6,24
"310",6.80114587583892e-06,6,6,24
"311",3.67861854054264e-05,4,6,24
"312",7.5584439226335e-09,4,6,24
"313",1.25290794258613e-05,4,6,24
"314",7.30264370671056e-09,4,6,24
"315",1.22605987004876e-06,4,8,24
"316",6.02890165778598e-08,4,8,24
"317",2.62727115010448e-06,6,6,24
"318",5.89400206947203e-06,6,6,24
"319",8.96478398741419e-06,4,6,24
"320",1.7228119472731e-05,6,6,24
"321",5.24670370458212e-08,4,6,24
"322",4.25734447211912e-06,4,6,24
"323",5.90254166765489e-08,4,6,24
"324",2.19148033777032e-06,4,8,24
"325",1.13830809899798e-07,4,8,24
"326",1.13830809899798e-07,4,8,24
"327",7.32765312123889e-07,4,8,24
"328",1.27067272414647e-06,4,8,24
"329",2.20165290659074e-06,4,8,24
"330",1.80918306798821e-09,4,8,24
"331",2.19148033777032e-06,4,8,24
"332",3.08026024254263e-07,4,6,24
"333",3.99978090284753e-07,4,8,24
"334",2.09319436545857e-06,4,8,24
"335",6.09376725004566e-06,4,6,24
"336",1.52373260341993e-09,4,8,24
"337",3.05923038263906e-08,4,8,24
"338",1.87998796645513e-07,4,6,24
"339",1.53257483756095e-06,4,6,24
"340",1.07180285766708e-05,4,6,24
"341",3.06367837327523e-05,4,6,24
"342",1.99654147281068e-05,4,6,24
"343",2.17679989237967e-07,4,8,24
"344",0.000131469662189339,6,6,24
"345",2.05771649485757e-06,4,8,24
"346",3.27774683854185e-08,4,8,24
"347",7.56819438695458e-09,4,6,24
"348",6.00198815835299e-08,4,6,24
"349",3.44202713572772e-09,4,8,24
"350",1.94106852270563e-06,4,6,24
"351",2.8513223012265e-08,4,6,24
"352",8.31969197533085e-07,6,6,24
"353",3.23054429102349e-06,4,8,24
"354",7.32765312123889e-07,4,8,24
"355",1.57064832566552e-06,4,6,24
"356",1.08949172046271e-05,4,8,24
"357",3.14709600554783e-07,4,6,24
"358",2.09319436545857e-06,4,8,24
"359",2.95136869776076e-08,6,6,24
"360",6.9144983071029e-06,4,6,24
"361",4.27329193087408e-06,4,8,24
"362",9.90721963466837e-06,4,6,24
"363",3.74994308637556e-09,4,6,24
"364",4.54766830030793e-05,4,8,24
"365",8.84100310420805e-06,4,6,24
"366",1.61781787215463e-08,6,6,24
"367",9.40010453327665e-07,4,6,24
"368",3.94907044274593e-06,4,8,24
"369",2.10618145520945e-05,4,8,24
"370",9.78603203532962e-08,4,6,24
"371",3.34389672228747e-06,4,8,24
"372",3.45358698581615e-06,4,8,24
"373",3.40057293791946e-06,4,8,24
"374",2.17679989237967e-07,4,8,24
"375",3.68395401607941e-06,4,8,24
"376",2.26704862527964e-06,4,8,24
"377",3.62727780044742e-06,4,8,24
"378",3.45358698581615e-06,4,8,24
"379",1.15900460988885e-07,4,8,24
"380",7.82815099429659e-09,4,6,24
"381",1.31363557505224e-06,4,8,24
"382",1.81834901673529e-07,6,6,24
"383",5.75296864051844e-08,4,8,24
"384",7.2602365081956e-09,4,8,24
"385",7.58476375707183e-07,4,8,24
"386",3.8815200367747e-09,4,6,24
"387",6.26875387468692e-05,4,8,24
"388",1.94416749711641e-05,6,6,24
"389",2.77481409134249e-05,4,6,24
"390",7.58476375707183e-07,4,8,24
"391",2.94997215468767e-08,4,8,24
"392",2.03560278091348e-07,4,6,24
"393",5.26969738352981e-06,4,8,24
"394",2.98365539279462e-05,4,8,24
"395",1.71949962380439e-07,4,8,24
"396",1.90760182403829e-06,4,6,24
"397",1.01967235615204e-06,4,6,24
"398",6.9144983071029e-06,4,6,24
"399",7.42347170972934e-09,6,6,24
"400",1.02171655837396e-06,4,8,24
"401",3.28722050665548e-06,4,6,24
"402",1.15900460988885e-07,4,8,24
"403",7.7133190749883e-07,4,8,24
"404",1.17970112077973e-07,4,8,24
"405",9.61434726277997e-08,6,6,24
"406",2.58348329760274e-06,4,6,24
"407",4.54116743692706e-06,6,6,24
"408",3.30987683342099e-07,4,6,24
"409",9.94771725891555e-08,4,8,24
"410",1.4612548522687e-08,4,6,24
"411",8.87742754623724e-05,4,8,24
"412",2.12867223605956e-06,4,8,24
"413",1.84916849159521e-07,4,6,24
"414",7.03408115152513e-07,6,6,24
"415",6.13656061596073e-08,4,8,24
"416",6.24421957413548e-08,4,8,24
"417",3.28722050665548e-06,4,8,24
"418",1.60067814075277e-07,4,8,24
"419",7.58476375707183e-07,4,8,24
"420",3.92835624386811e-07,4,8,24
"421",4.38232207297796e-05,4,8,24
"422",2.13792846573004e-07,4,8,24
"423",8.78355033507727e-08,4,8,24
"424",3.28722050665548e-06,4,8,24
"425",3.69319227275494e-06,4,6,24
"426",1.21664925543478e-05,4,8,24
"427",1.17898314343379e-05,4,6,24
"428",3.09283572959011e-07,4,6,24
"429",7.84187439290477e-07,4,8,24
"430",0.000100610845524022,4,8,24
"431",3.74143625580041e-10,4,6,24
"432",8.78900888949573e-05,4,6,24
"433",6.35336362073237e-07,6,6,24
"434",3.64919828114785e-05,4,6,24
"435",4.62039036381395e-07,4,8,24
"436",5.26279898867579e-06,6,6,24
"437",6.57444101331095e-06,4,6,24
"438",1.12727137283947e-07,4,6,24
"439",3.24985032097166e-06,4,6,24
"440",5.34039484216395e-08,6,6,24
"441",1.48469434194587e-08,4,8,24
"442",7.5584439226335e-09,4,6,24
"443",2.19148033777032e-06,4,8,24
"444",1.39203881501935e-11,4,8,24
"445",3.03857545363238e-07,4,6,24
"446",8.05831394692255e-06,4,8,24
"447",3.81520364807658e-06,4,8,24
"448",1.31363557505224e-06,4,8,24
"449",2.1070274398929e-07,4,6,24
"450",5.92124269961123e-08,4,8,24
"451",4.68857562253882e-05,4,8,24
"452",7.97042971082124e-07,4,8,24
"453",5.55745789442935e-06,4,8,24
"454",9.26804417436719e-06,4,6,24
"455",1.88807862903426e-05,4,8,24
"456",4.01794616070725e-05,6,6,24
"457",1.05255979773516e-05,4,8,24
"458",1.29174164880137e-06,4,8,24
"459",7.38988358869909e-09,4,8,24
"460",2.21567131902931e-07,4,8,24
"461",1.37563795234612e-08,4,8,24
"462",6.46681654253116e-07,4,6,24
"463",1.5116887845267e-08,4,8,24
"464",2.95136869776076e-08,4,6,24
"465",3.99978090284753e-07,4,8,24
"466",1.6505117998519e-06,4,6,24
"467",6.58026946432996e-07,6,6,24
"468",3.93940509093861e-06,4,6,24
