"CycID","BH.Q","ADJ.P","PER","LAG","AMP"
"750","1","0.591395775284717","22","17","0.693832752364082"
"751","0.136855164910206","0.0331873774907249","22","14","1.38335371913603"
"752","0.0131895963260436","0.000499885700757051","24","18","1.52014594668915"
"753","0.0282344967233774","0.00236887427509137","24","16","0.931206913232536"
"754","0.986771106986119","0.440691976380001","22","20","0.668506994876328"
"755","1","0.682303761313899","22","17","1.18726784717198"
"756","0.10404387619693","0.0222237719556643","22","17","0.592971961849407"
"757","0.0246647905847689","0.00184985929385767","24","18","1.1672446113048"
"758","0.455302252161643","0.170328572533671","24","16","0.904736697908892"
"759","0.041215048038292","0.00484276814449931","20","16","0.998809768559593"
"760","0.0282344967233774","0.00236887427509137","22","16","0.772651782533264"
"761","0.0914377802526751","0.0180863929339791","22","16","1.04441843784648"
"762","0.10404387619693","0.0222237719556643","24","17","1.02415321226482"
"763","0.155088862248605","0.040338613070862","24","17","0.890674368542646"
"764","0.0469451425466937","0.00609347950256085","28","13","0.446363660967879"
"765","0.0282344967233774","0.00236887427509137","24","15","1.05952014637262"
"766","0.178386230210641","0.0488599884546946","26","16","1.18580451416765"
"767","0.522461737769733","0.201043276693793","26","13","0.410610792468575"
"768","0.0116247904121967","0.000378968167437612","24","17","1.22340258226191"
"769","0.0116247904121967","0.000378968167437612","20","17","1.69139796563721"
"770","0.00794947412078343","0.000118447164399673","22","17","1.00640611141454"
"771","0.0914377802526751","0.0180863929339791","22","14","1.28733111105639"
"772","0.871501388117266","0.378841653414575","26","11","0.511892759903339"
"773","0.986771106986119","0.440691976380001","24","15","0.87589253596066"
"774","0.10404387619693","0.0222237719556643","24","14","0.993361050220996"
"775","0.397642358642077","0.143867005356704","20","17","1.07766823324777"
"776","0.10404387619693","0.0222237719556643","24","16","1.03208752670292"
"777","0.155088862248605","0.040338613070862","24","16","1.05129386461037"
"778","1","1","28","19","0.904469196430489"
"779","0.0190793066685841","0.00111232357877845","28","14","1.03928856470104"
"780","0.0168233199395317","0.000856306984922162","22","17","1.13271646995073"
"781","0.0614348079610665","0.00952853871476142","22","14","0.78590575305259"
"782","0.871501388117266","0.378841653414575","20","16","0.883039672728818"
"783","0.986771106986119","0.440691976380001","22","17","0.335774183949549"
"784","0.0282344967233774","0.00236887427509137","26","14","1.71715894133335"
"785","0.0217528504428943","0.00143786341427531","26","15","0.979675930859331"
"786","0.522461737769733","0.201043276693793","24","16","0.489973129826612"
"787","0.155088862248605","0.040338613070862","24","15","1.31631795863837"
"788","0.00447229559995536","2.41503962397589e-05","26","13","1.61151934122846"
"789","0.136855164910206","0.0331873774907249","22","17","0.930389342962287"
"790","0.10404387619693","0.0222237719556643","22","16","0.969997132346645"
"791","1","1","28","17","0.854309132845202"
"792","0.266620725039147","0.0850786733599917","22","14","0.844485540864347"
"793","0.0705404581153385","0.0118437429175653","24","13","1.2481331901877"
"794","0.232331825737798","0.0709541395803234","24","16","0.562078600857854"
"795","0.0914377802526751","0.0180863929339791","22","18","1.24547348556262"
"796","0.0705404581153385","0.0118437429175653","22","18","1.08095883450176"
"797","0.871501388117266","0.378841653414575","22","14","0.8541000967596"
"798","0.305998835959052","0.101683413189193","24","16","0.921529195033693"
"799","0.155088862248605","0.040338613070862","22","14","0.637762142302635"
"800","0.0131895963260436","0.000499885700757051","22","17","1.44792977014517"
"801","0.266620725039147","0.0850786733599917","22","18","1.09888530608716"
"802","0.00588809891677217","4.65159814425002e-05","24","15","1.03776519335413"
"803","1","0.682303761313899","28","13","0.695117616904714"
"804","0.0914377802526751","0.0180863929339791","28","13","1.13294154374383"
"805","1","1","26","15","0.988240381116438"
"806","0.595632928356431","0.236585399143175","22","17","0.851982126571584"
"807","1","0.591395775284717","24","13","0.717591412147771"
"808","0.0469451425466937","0.00609347950256085","28","14","1.22311066313979"
"809","0.0705404581153385","0.0118437429175653","26","15","0.925649566573277"
"810","0.041215048038292","0.00484276814449931","22","17","1.13840935101074"
"811","0.0361551880247234","0.00383244993062068","26","15","1.5408121858948"
"812","0.0116247904121967","0.000378968167437612","22","15","1.40211962459692"
"813","0.0116247904121967","0.000378968167437612","22","16","1.0254135062399"
"814","0.00620586930269446","6.3920453817753e-05","22","15","1.08339759349394"
"815","0.155088862248605","0.040338613070862","24","15","0.968108773767409"
"816","0.0190793066685841","0.00111232357877845","24","14","1.03409535456336"
"817","0.10404387619693","0.0222237719556643","24","16","0.996382741895619"
"818","0.120331938399202","0.0272070512720596","20","14","1.12339909771901"
"819","1","1","22","13","1.06924095275087"
"820","0.76919194604982","0.324752839622234","24","15","0.937182876102281"
"821","0.041215048038292","0.00484276814449931","26","15","0.93407512579791"
"822","0.0806158382316282","0.0146640209743332","28","12","1.03931729067865"
"823","0.136855164910206","0.0331873774907249","24","15","1.46891164584957"
"824","0.0320910325093802","0.00301976615913268","24","16","1.09464362773928"
"825","0.155088862248605","0.040338613070862","26","14","1.18009091134512"
"826","0.0108241460578119","0.000285757455926234","24","16","1.15992589910694"
"827","0.305998835959052","0.101683413189193","22","15","0.954671614607708"
"828","0.0469451425466937","0.00609347950256085","24","15","1.33855757570023"
"829","1","0.511214203886076","24","14","0.596374382494613"
"830","0.155088862248605","0.040338613070862","24","18","0.777787248081737"
"831","0.0914377802526751","0.0180863929339791","24","16","0.874646956740183"
"832","0.0282344967233774","0.00236887427509137","24","15","0.914989454401721"
"833","0.0217528504428943","0.00143786341427531","22","17","0.871810743658573"
"834","0.0168233199395317","0.000856306984922162","26","14","1.15295762107372"
"835","0.675728422080738","0.277589235790767","20","16","1.05644005699676"
"836","0.305998835959052","0.101683413189193","22","16","0.858559310825584"
"837","0.232331825737798","0.0709541395803234","28","16","0.706245945681963"
"838","0.0614348079610665","0.00952853871476142","28","12","1.24881681726696"
"839","0.0806158382316282","0.0146640209743332","28","11","1.08588572976547"
"840","0.0246647905847689","0.00184985929385767","24","14","0.985855994630965"
"841","0.0540366310630237","0.00763537596920524","24","16","0.785193408918117"
"842","0.0806158382316282","0.0146640209743332","20","18","0.690303176789406"
"843","0.203165489504084","0.0589789416030357","22","15","1.04705200676941"
"844","0.041215048038292","0.00484276814449931","28","12","0.751677274602325"
"845","0.041215048038292","0.00484276814449931","26","13","0.938211831564229"
"846","0.041215048038292","0.00484276814449931","24","15","1.09951007825473"
"847","0.871501388117266","0.378841653414575","20","18","0.924373213460632"
"848","0.595632928356431","0.236585399143175","22","15","0.989773249084212"
