CycID,ARS_qvalue,JTK_qvalue,LS_qvalue,meta2d_qvalue,Cosinor_qvalue,Cosinor1_qvalue,Cosinor1_qvalue(q),Rain_qvalue
33,0.10809281255868684,1.0,1.0,0.41188090675475914,0.0003273656697914,0.0162665110265776,0.1079476400141228,0.013763698985423633
34,0.051521329363712225,0.27234285557617216,1.0,0.030305259708566436,0.0010825664753816,0.0185944526268798,0.1163042122975224,0.005456483033382842
35,0.025688818919267394,0.47963874145845753,1.0,0.011335494403010186,0.0062654221587268,0.0030027150582595,0.0474395196546337,0.007254729143497201
36,0.0317506133738838,0.20888918766856412,1.0,0.007811460674917212,0.0472883839670275,0.0012654833618763,0.0353207094330143,0.002892320867362757
37,0.01491820872415504,0.11267197170027632,1.0,9.98636317825421e-05,0.0006293750474204,4.616166524074082e-05,0.0174703297268495,0.0010725262163841106
38,0.032694314593674556,0.22865224948140453,1.0,0.009821777889588058,0.0030310705587498,0.0015641098992497,0.0380960577289422,0.0019980440079115044
39,0.07747257920749427,0.7131723188853956,1.0,0.20446016566754402,0.000291932942456,0.0097055391057628,0.0821739077257101,0.005390908097807245
40,0.47430449452492346,1.0,1.0,0.999999999997959,0.004213424906259,0.1108806122941356,0.3468309984788428,0.29031151583440507
41,0.03916410779394839,0.3711701800065179,1.0,0.02205678873241956,0.0061400910630342,0.001290140879612,0.0354879977412027,0.009190873515626176
42,0.09861030877798233,1.0,1.0,0.43686140325369505,0.0002183996062181,0.0118931346835638,0.0914031159123672,0.011284421474708964
43,0.043619213990343964,0.5884131098433701,1.0,0.05462784989738485,0.0012740330286397,0.00241699144828,0.0441670974837089,0.0069665669588088695
44,0.34692941532837573,1.0,1.0,0.999999999997959,0.0117890993985065,0.1521212114022915,0.4223485560505918,0.02574379431158232
45,0.03829068382747699,0.22865224948140453,1.0,0.01006054098408939,0.0027881383830848,0.001824572718063,0.0400715347109775,0.003945120780322633
46,0.20830044646909956,1.0,1.0,0.8652181177137118,0.0320521216977559,0.0409471774096348,0.1858202446031527,0.01988400571545349
47,0.11692044198357673,0.3450564156404986,1.0,0.13176626089500038,0.0002948068517996,0.0192067395438756,0.1184107713271486,0.02125416452981988
48,0.4473740413590114,1.0,1.0,0.999999999997959,0.0018747029826986,0.275678140617679,0.6008253295959127,0.23142543073573005
49,0.04967325738551878,0.5301553946796587,1.0,0.08186930906154391,0.0408321643385443,0.0059675487183655,0.0648867450557986,0.01139645413758218
50,0.10557011975060777,1.0,1.0,0.5407863756004568,0.0021689084524827,0.0793000438848676,0.2815208368589305,0.0958845467621865
51,0.0348134856812036,0.47963874145845753,1.0,0.03134360316703824,0.0006784239984679,0.0020495124110131,0.0414436426539982,0.003607110957819905
52,0.14617699799537295,1.0,1.0,0.8183921385142807,0.0016445685191277,0.0367787866984849,0.1741415533834322,0.013810380527111275
53,0.26431975679988245,1.0,1.0,0.999999999997959,0.0004998053999427,0.0744865671910883,0.2703880299578782,0.16410756691732467
54,0.06592364979462337,0.5301553946796587,1.0,0.10365623690817923,0.0017428230115943,0.0064898670743896,0.0674714137514935,0.015076946430689376
55,0.0137625881484625,0.13244588417248246,1.0,0.00014384251445224787,0.0117523897702444,4.224241177713143e-05,0.0169610222436338,0.001401982890338633
56,0.0412824166652088,0.27234285557617216,1.0,0.01710924612736561,0.0656428829116058,0.0013840538756211,0.0364617955693294,0.002993061611704682
57,0.1538409101576765,1.0,1.0,0.9498925270722712,0.0001680521945265,0.0266594862286998,0.1434745395133879,0.08759746421448972
58,0.3688923447903581,1.0,1.0,0.999999999997959,0.0076203733030188,0.1296971044627436,0.3823837791696814,0.0874747464265055
59,0.08437890940495664,1.0,1.0,0.4900658769212776,0.0002547748878285,0.008353137582194,0.0762761990430536,0.06429202868549301
60,0.20482049101086652,1.0,1.0,0.8352738035139343,0.0030821586420698,0.0485251015119264,0.2063563956257857,0.030681318230878482
61,0.017055868473995935,0.22865224948140453,1.0,0.001390516732443226,0.0001549664163117,0.0001125971655372,0.0196626303732833,0.0037830787173848165
62,0.16245506938327808,1.0,1.0,0.7598833416211249,0.0075343548493916,0.0368538374926472,0.17436910696014,0.044592460953004905
63,0.031178232656847826,0.1784370545835468,1.0,0.0054493553567275125,0.0405025807846435,0.0007566608793318,0.0298279353064212,0.0019021642555312557
64,0.19108288788298317,1.0,1.0,0.999999999997959,0.0634209374369981,0.0590300518707103,0.2337966642408962,0.13857167479642857
65,0.06889854161345231,0.3181278633348738,1.0,0.06284440529329371,0.0008069528821017,0.0110984169736959,0.0881292039150102,0.005718000463395591
66,0.02631412891780625,0.1916463255269466,1.0,0.003423195769267423,0.0050698553217213,0.0003330600401204,0.0245612122351517,0.0020209476971993186
67,0.46422424559607156,1.0,1.0,0.999999999997959,0.0033443843863099,0.1815776270022869,0.4698436050067378,0.18468417142659574
68,0.03386841816228363,0.1916463255269466,1.0,0.0070858112531471265,0.001619685361599,0.0011485679202967,0.0342241637505244,0.0011788072013751351
69,0.018729989105098245,0.12533726323234393,1.0,0.0003123405107765422,0.0070120738902997,2.276221870840001e-05,0.016061021729679,0.00064023132473175
70,0.01317030098150019,0.09740260776027272,1.0,1.213312561532123e-05,0.0016081605355096,2.8617063566969512e-05,0.0164338482607998,0.0009461478853142566
71,0.41560559861869534,1.0,1.0,0.999999999997959,0.0135410769064103,0.0884526267426037,0.3011166096328876,0.13079281928990388
72,0.12133134027032981,1.0,1.0,0.7066900777426395,0.0107899753397456,0.0154573006521224,0.1050064649628617,0.031659722792751546
73,0.19009515022070728,0.6528500288757033,1.0,0.520618448769188,0.0003132307134222,0.0729167303839818,0.266548689777727,0.14731542000850154
74,0.1750443865040831,1.0,1.0,0.999999999997959,0.0007989610051892,0.0660239848361885,0.2511218871459702,0.07652311568433877
75,0.02404717718818704,0.3181278633348738,1.0,0.00620454775436646,0.0103313448041749,0.0005121558277963,0.0268931276287913,0.004543307001229075
76,0.3673303372615239,1.0,1.0,0.999999999997959,0.0001277285597594,0.1826517180158579,0.4714413703171837,0.37476465437003126
77,0.3560763197454918,1.0,1.0,0.999999999997959,0.0027000637823844,0.1536067992854418,0.4250403582011504,0.4624254858405777
78,0.046877580200246176,0.1916463255269466,1.0,0.014802123695538844,0.0677917639069541,0.0050146075925084,0.0596954662842628,0.0009715388026602253
79,0.028119105721677803,0.5301553946796587,1.0,0.02562765947173816,0.0001627369184009,0.0026941922062965,0.0458168779644356,0.005773695144895122
80,0.18686758668865266,0.7131723188853956,1.0,0.5581063984637589,0.0019156513232362,0.0428495314245196,0.1915876370427342,0.0022975846410945733
81,0.23324153603703515,1.0,1.0,0.999999999997959,0.0056073249606721,0.0441591835323904,0.1948288449020055,0.0885737427165733
82,0.053859948906795095,0.43697315541855003,1.0,0.05213510530600627,0.0606686397287103,0.0024833150897519,0.0444666212140581,0.007073385040803339
83,0.04399427626779642,0.43697315541855003,1.0,0.04032828224605193,0.0010184249973805,0.0054531504916167,0.0619097014641233,0.0117978036755381
84,0.020152711029606137,0.1784370545835468,1.0,0.0013293441507924106,0.0393400576719316,0.000129665429148,0.0202932597901119,0.0016733483931489674
85,0.13473065146565624,1.0,1.0,0.6374170973692946,0.0024695493936192,0.033172681309721,0.163587306391019,0.035259258073729
86,0.03421309581954,0.3181278633348738,1.0,0.0159246206087184,0.0356704207032392,0.0012612950507649,0.0352935578947958,0.00706879642196759
87,0.11706267604801512,0.8770591968112701,1.0,0.3641167537485037,0.0100689224361016,0.0140237591755616,0.0997676395065788,0.021349526068635778
88,0.029084428034505023,0.3711701800065179,1.0,0.013149555987404218,0.0119671772700307,0.0006824917415149,0.0289289231664951,0.0022924523346728974
89,0.0248442997988036,0.3999669649398162,1.0,0.009065016533606625,0.0005588216327075,0.0004937471264278,0.0267326618901133,0.00413682389948511
90,0.03495049680256022,0.27234285557617216,1.0,0.014345844815439898,0.0086312209580968,0.0016310481027239,0.0386177353668816,0.0036620812255567766
91,0.05824146175257808,0.3999669649398162,1.0,0.07075988308599387,0.1250517659475148,0.0060022025456902,0.0649411757277594,0.006055325727922242
92,0.033559194665434784,0.3711701800065179,1.0,0.01776055112415606,0.0184517580135058,0.0009111570802904,0.0316258771231197,0.005789617284676082
93,0.014710461844486239,0.11267197170027632,1.0,9.98636317825421e-05,0.0058899675178437,0.0001018459931866,0.0194364194642462,0.003584409227766991
94,0.039394813020396276,0.43697315541855003,1.0,0.03589757793257366,0.0511180108513937,0.0019941412638301,0.0411834541764615,0.004305924922876713
95,0.13065043626955655,1.0,1.0,0.8223389420467258,0.0003952754134717,0.0245507411595392,0.1367840791479086,0.049794043091374376
96,0.0644731168673523,0.5301553946796587,1.0,0.10824965343899046,0.0017167392599139,0.005390568037195,0.0617091374687623,0.006798716082660215
97,0.031178232656847826,0.5301553946796587,1.0,0.02908839507899935,0.0001225576670827,0.0025209331794508,0.04469941896777,0.008532584806355773
98,0.0271415293706153,0.20888918766856412,1.0,0.004938267904199719,0.0003626211636346,0.0005041021511863,0.0267326618901133,0.0036620812255567766
99,0.1538761720266085,1.0,1.0,0.6618071752605441,0.0693991402584193,0.0239692884444577,0.1347699890115697,0.01573816457837233
100,0.039444725138698074,0.9682553357848361,1.0,0.07328988437530397,0.0022550999721698,0.0020287898408178,0.0413849412720636,0.014561814581324585
101,0.10217810084691217,1.0,1.0,0.5275649002739599,0.0002611033201586,0.0216331267558517,0.1269771427367758,0.049483189603998556
