test,period,n_components,p,q,p_reject,q_reject,amplitude,CI(amplitude),p(amplitude),q(amplitude),acrophase,CI(acrophase),p(acrophase),q(acrophase),mesor,CI(mesor),p(mesor),q(mesor),peaks,heights
1021.0,24.0,2.0,1.3965639755753045e-10,4.1145094204572137e-10,0.7198659654541799,0.9450705005725358,1.7073565042837693,"[1.4902590794699133, 1.9325507932314872]",0.0,0.0,-0.5912106295043857,"[-0.6933289019612542, -0.48840340563469653]",0.0,0.0,0.0538361390967399,"[-0.11891840742344037, 0.22775356046176273]",0.5379919379366096,0.9999843820196646,[ 2.25825826 15.95195195],[1.76119264 0.40456625]
1022.0,24.0,2.0,3.824673910912679e-11,1.476708073711459e-10,0.39397602166055457,0.9450705005725358,1.6015911555790523,"[1.3979325469419215, 1.806804179556416]",0.0,0.0,-0.5912106295043857,"[-0.6899120005661745, -0.49754436044021383]",0.0,0.0,0.023377432168476986,"[-0.13890584374318968, 0.18413954773534594]",0.7835470794696788,0.9999843820196646,[ 2.25825826 16.0960961 ],[1.62496859 0.3547585 ]
1023.0,24.0,2.0,4.494518313080675e-09,9.428400069395165e-09,0.5304451962125285,0.9450705005725358,1.5413736235535143,"[1.2693905727194215, 1.8166498098459132]",0.0,0.0,-0.6541053773240009,"[-0.8156277551112151, -0.4754003291939298]",2.0761170560490427e-13,4.358843283747728e-13,-0.18143131605735374,"[-0.3837428173412707, 0.018895774078775462]",0.07568202819149294,0.8429209719469285,[ 2.4984985  16.24024024],[1.35989043 0.33832178]
1024.0,24.0,2.0,4.574218781527861e-11,1.697928278221181e-10,0.5796908262950439,0.9450705005725358,1.4508936917894606,"[1.2475047639775991, 1.6642324204028212]",0.0,0.0,-0.5408948312486928,"[-0.7305108233061679, -0.3408275149279687]",8.564265785437897e-08,1.7224991523406872e-07,-0.1502930605441295,"[-0.31844005465069497, 0.017189138067988552]",0.07848650320722661,0.8591839137924335,[ 2.06606607 15.75975976],[1.30060063 0.38059199]
1025.0,24.0,2.0,6.52367049269742e-13,1.0632103232566646e-11,0.5277573742187587,0.9450705005725358,1.7709145536707311,"[1.5693711462026552, 1.9763987206164408]",0.0,0.0,-0.5786316799404627,"[-0.6504079511801832, -0.5147118333868528]",0.0,0.0,-0.06113501257320908,"[-0.21050528327064066, 0.08361335122539586]",0.3974109218376045,0.9999843820196646,[ 2.21021021 16.14414414],[1.70971647 0.4077541 ]
1026.0,24.0,2.0,4.6111547913341155e-10,1.138275682876849e-09,0.4981457510934908,0.9450705005725358,1.7751391140255421,"[1.5548329568528532, 1.9967814583887207]",0.0,0.0,-0.6163685286322318,"[-0.7246523405367915, -0.4945086766591507]",0.0,0.0,-0.04359420403115877,"[-0.23488727818157196, 0.14533147362633098]",0.6440336360484527,0.9999843820196646,[ 2.35435435 16.28828829],[1.73154491 0.67521634]
1027.0,24.0,2.0,3.487043986893923e-11,1.376102599405652e-10,0.05207801376417176,0.9450705005725358,1.7147241958177784,"[1.4702073642895783, 1.9655511642788737]",0.0,0.0,-0.5912106295043857,"[-0.7022674977693619, -0.48053383727539395]",0.0,0.0,-0.043177194732224145,"[-0.2362255301480563, 0.15091732288783039]",0.6655367602725994,0.9999843820196646,[ 2.25825826 16.19219219],[1.671547   0.32739497]
1028.0,24.0,2.0,1.1840051161726706e-10,3.5900700914877826e-10,0.7461626965709114,0.9450705005725358,1.5528607202768616,"[1.3342381989641225, 1.7848718026757036]",0.0,0.0,-0.6666843268879239,"[-0.7381344870833261, -0.5898265839592131]",0.0,0.0,-0.020321734368437427,"[-0.18033196564888448, 0.13199204168004164]",0.7614026396424995,0.9999843820196646,[ 2.54654655 15.75975976],[1.53253899 0.52661541]
1029.0,24.0,2.0,8.296696663023795e-13,1.221735131363242e-11,0.40760232299601007,0.9450705005725358,1.514149455150687,"[1.3836935834062274, 1.6555769970923908]",0.0,0.0,-0.5408948312486928,"[-0.6037789861894775, -0.4631971946786718]",0.0,0.0,-0.21298686029333314,"[-0.313433420045517, -0.1074536580113373]",6.53268378068006e-05,0.029729845283377184,[ 2.06606607 15.75975976],[1.30112065 0.48679388]
103.0,24.0,2.0,1.7319479184152442e-13,5.280329019558671e-12,0.9290582803092293,0.9650621333289572,1.7129233721725428,"[1.5277460652139059, 1.9034986067285962]",0.0,0.0,-0.5408948312486928,"[-0.5854168439162694, -0.4838227581253006]",0.0,0.0,-0.05280388376017675,"[-0.17810210175686486, 0.07395489953269051]",0.41766177572181884,0.9999843820196646,[ 2.06606607 16.19219219],[1.66004616 0.3604465 ]
