test,period,n_components,p,q,p_reject,q_reject,amplitude,CI(amplitude),p(amplitude),q(amplitude),acrophase,CI(acrophase),p(acrophase),q(acrophase),mesor,CI(mesor),p(mesor),q(mesor)
1006.0,24.0,1.0,0.004943112295266339,0.02082016509859466,0.39352134357413493,0.9677835625392774,0.7385506301914165,"[0.3782427722811054, 1.1565454971981912]",0.00011605840159734093,0.0003350415750500604,-0.037736848691769076,"[-0.6344120070025183, 0.5822621768143583]",0.932984841598469,0.9805711304955713,-0.13128921699169183,"[-0.414844436322614, 0.15044016733654014]",0.35891359659568467,0.9994431546631488
1007.0,24.0,1.0,0.005132901855919081,0.021419815784889752,0.024326135933344428,0.9677835625392774,1.0312670569432794,"[0.5227695701823986, 1.6008036577160905]",0.00011801642471853668,0.0003401049703704227,-0.33963163822592346,"[-0.9266859665858472, 0.2710911401299668]",0.28304835005430684,0.6249381715292813,-0.13265194480892384,"[-0.5412900277318268, 0.27225582403753734]",0.5165299354172141,0.9994431546631488
1008.0,24.0,1.0,0.0006880591924134372,0.006063976431375769,0.6722995184572169,0.9745223686555984,1.1205021066405334,"[0.6294648487733961, 1.6227769910593657]",9.578614011074293e-06,3.9034210851382536e-05,-0.44026323473730855,"[-0.8599090807979982, 0.0051933486035983245]",0.05280936638329625,0.29273484691405904,0.08540770971259759,"[-0.25604188480853973, 0.4357406722701922]",0.610344414514904,0.9994431546631488
1009.0,24.0,1.0,0.009523737202320581,0.03309292758259658,0.7678683997752473,0.9777154327176761,0.6684786512685057,"[0.3686625432139941, 1.0469660551803357]",4.555137356443417e-05,0.0001475587093114162,-0.33963163822592346,"[-0.9766537196116192, 0.342211998532884]",0.3454041249235438,0.6828160476843327,-0.2764148757324504,"[-0.5593154604773158, 0.0067830608312465235]",0.0557375394584112,0.9994431546631488
101.0,24.0,1.0,0.02132168894951403,0.06022508883207051,0.7116263927829474,0.9745223686555984,0.7422148432979239,"[0.35351133631450754, 1.21727585220017]",0.00037598634306390544,0.0009533122288638577,-0.38994743648161556,"[-1.0943090295876585, 0.3631067169625686]",0.3250929750860867,0.665083827917526,-0.08369139027391603,"[-0.4254080802201221, 0.2779297741324709]",0.6808152528572933,0.9994431546631488
1010.0,24.0,1.0,0.000540431399398078,0.005333103714007827,0.6036039029714957,0.970520022823984,1.2644621638614235,"[0.7839580843334714, 1.8136543970686119]",8.691951229877759e-07,5.106904365380587e-06,-0.33963163822592346,"[-0.7965805258877061, 0.13022149750970224]",0.15858536261330736,0.48392461490179856,-0.007896266726181045,"[-0.3987517755879807, 0.3904988797397172]",0.983633051922489,0.9994431546631488
1011.0,24.0,1.0,1.2419451137724025e-05,0.0008242998542737184,0.2661084668842234,0.9677835625392774,1.4334001246229038,"[1.0744392164052652, 1.8376903940077964]",1.545430450278218e-13,1.136345919322219e-11,0.3836579616996545,"[0.03863659804314351, 0.7385477605010731]",0.029565384415213947,0.21725654541039754,-0.08270424570282997,"[-0.39054489106945656, 0.22230775841246408]",0.5902188768711292,0.9994431546631488
1012.0,24.0,1.0,0.0020235640124306453,0.01153685297850995,0.006566657542832366,0.9677835625392774,1.1252157193696017,"[0.5894578451073, 1.7191802298630883]",6.521196265163454e-05,0.00020158257388449625,0.1320789704211931,"[-0.34606127119841495, 0.6153347434335372]",0.5826993413951569,0.8349543642013616,-0.28706629378902115,"[-0.6942245060822314, 0.10890938772104353]",0.15299120999889326,0.9994431546631488
1013.0,24.0,1.0,0.00019629301329793236,0.003050760543968797,0.19370378400772326,0.9677835625392774,1.5192109853116862,"[0.987126077533915, 2.1239564528310133]",9.7866486470366e-08,8.228406676846207e-07,0.1823947686768852,"[-0.26271902000842856, 0.6043157756886253]",0.4396283648130599,0.7542999724071688,-0.33359113993724376,"[-0.7252573395182276, 0.07072195007813803]",0.10692168991880946,0.9994431546631488
1014.0,24.0,1.0,0.000372347574419285,0.004312906267404846,0.9270217284098843,0.9879352961885185,0.9700840255912551,"[0.59577398816568, 1.3871613514665624]",1.0275047785945901e-06,5.868102676154141e-06,-0.28931583997023136,"[-0.7014826924362302, 0.12368624578049447]",0.16972997474808804,0.49674007849780955,0.03310859787509035,"[-0.24768505897745163, 0.3248192717608719]",0.7915345815334138,0.9994431546631488
1015.0,24.0,1.0,0.017894862713810245,0.052760558824691384,0.8796733411656422,0.9839051191369613,0.782928496009935,"[0.33662134989365844, 1.317238808379407]",0.0009677739469813318,0.0022201742302852302,0.5975001042863468,"[-0.016968043663542987, 1.2194757532426501]",0.05661529931623965,0.30322268673030145,-0.4124035381252369,"[-0.7725099430259217, -0.07280382979250838]",0.01794344785727109,0.9994431546631488
1016.0,24.0,1.0,0.03317026008368973,0.08524137420855678,0.20342890885124754,0.9677835625392774,0.6407441420054316,"[0.30964770127963703, 1.073611372412769]",0.00039856264145021747,0.0010044421407515562,-0.06289474781961513,"[-0.8309868187774083, 0.7076792124717053]",0.8750709666052974,0.9608969103102866,0.06329740296862196,"[-0.2574328606444847, 0.3718557137038392]",0.7213086017743109,0.9994431546631488
1017.0,24.0,1.0,0.008859479034819318,0.03138797172015614,0.815421299659417,0.9788248512160372,0.9240919566051242,"[0.5497988892939478, 1.4310220935721483]",1.1409114376359497e-05,4.526500557427037e-05,0.05660527303765406,"[-0.621679836267352, 0.7393607806541341]",0.8653023570700005,0.9581467800575799,-0.3683640875690235,"[-0.7366494080660358, 0.014108678312797163]",0.05923671505547734,0.9994431546631488
