test,period,p,q,amplitude,p(amplitude),q(amplitude),CI(amplitude),acrophase,p(acrophase),q(acrophase),CI(acrophase),acrophase[h]
873.0,24.0,8.211322426966252e-12,8.244299625468125e-11,1.117697061098596,7.905916776492726e-46,7.929705894175253e-45,"[0.9635382942457145, 1.2718558279514773]",-0.19594337859935074,0.007206616434102311,0.014436330997801105,"[-0.33886171696300427, -0.053025040235697235]",0.7484485744851209
874.0,24.0,8.412224698650364e-11,3.9035845469375243e-10,1.0096308102249067,1.629290700948692e-36,7.56051369349741e-36,"[0.852834249730879, 1.1664273707189345]",0.024446588241247902,0.7665479045012908,0.8715965364111636,"[-0.1369393990308452, 0.185832575513341]",23.906620911352157
875.0,24.0,1.7274864075824773e-09,4.5127649100900665e-09,0.9212895546546195,5.452906428241612e-27,1.4244792132292615e-26,"[0.7534378121034093, 1.0891412972058296]",0.015514890610054621,0.8724032887628275,0.9343459520507931,"[-0.1738212550649982, 0.20485103628510745]",23.940737483229114
876.0,24.0,2.479803531518389e-13,1.5566728133034772e-11,0.9871954732277938,3.95418098011025e-64,2.486906276798899e-62,"[0.8727578030228831, 1.1016331434327045]",0.09472428795159704,0.12303336455044343,0.21783527717854717,"[-0.02566239200936893, 0.215110967912563]",23.638179872199437
877.0,24.0,1.0900088635103022e-09,3.0027792383203917e-09,1.0239559808801721,2.8134582150281404e-28,7.750573595118844e-28,"[0.8419652307429547, 1.2059467310173895]",0.10760387525055215,0.25310880723624873,0.40105974843328906,"[-0.07693761757048911, 0.2921453680715934]",23.588983472592744
878.0,24.0,9.044614002518657e-08,1.8424554904295492e-07,0.9790755355938459,7.468440122434479e-18,1.520757508131639e-17,"[0.7561353876263806, 1.2020156835613112]",-0.20458339393653002,0.0891557371065346,0.16248539658562894,"[-0.44046997964979606, 0.03130319177673599]",0.7814510020683658
879.0,24.0,2.7094616459321505e-12,4.293917030003408e-11,1.157766722009313,5.090348924171877e-51,8.067113984424527e-50,"[1.0067325626350705, 1.3088008813835557]",-0.02435240385359183,0.7247768005992485,0.843843055768132,"[-0.15991696137138067, 0.11121215366419701]",0.09301933078726225
880.0,24.0,1.7690604571741047e-11,1.352492704261548e-10,1.0553470558370224,1.5254502945794323e-42,1.166246402583664e-41,"[0.9040390068506818, 1.206655104823363]",0.040938933987965775,0.5901665616626575,0.743751180419228,"[-0.10803921171508807, 0.18991707969101962]",23.843624790981657
881.0,24.0,3.179634300173215e-10,1.0796720883440459e-09,1.0084790380714002,5.307305425753146e-32,1.8021410613762807e-31,"[0.8406037368651398, 1.1763543392776605]",0.08808354592236345,0.3180125510602879,0.48067193328338564,"[-0.08480765952006489, 0.26097475136479176]",23.663545638273455
882.0,24.0,2.0948202675684457e-09,5.3466571402972075e-09,1.0266040995975525,1.8251399781159302e-26,4.6583460390911953e-26,"[0.8375983848868344, 1.2156098143082708]",0.06498583639415312,0.5054602573243783,0.6689521669195053,"[-0.12628234405326047, 0.2562540168415667]",23.751772389765826
