CycID,ARS_pvalue,JTK_pvalue,LS_pvalue,meta2d_pvalue,Cosinor_pvalue,Cosinor1_pvalue,Cosinor1_pvalue(p),Rain_pvalue
18,0.0396744526246154,1.0,0.672732978840689,0.29861565487031,0.0228229430673118,0.0063242180875663,0.0402387568517787,0.0223508148469448
19,0.0037579052585823,0.040338613070862,0.220991323911542,0.0021570473165097,8.616162312513609e-07,0.000290345800702,0.0057797351636052,0.0013905503180895
20,0.0006946703025586,0.0006559349147549,0.0235512109855118,2.01440835445599e-06,0.0020059921011956,1.639936583233379e-07,0.0001352626256088,3.12301790498166e-06
21,0.0014857195521039,0.0222237719556643,0.109963373484694,0.0003339507363797,0.148329502466365,3.439132693828245e-05,0.0017484073318919,0.0006413302737064
22,0.0119366266217891,0.0180863929339791,0.197854227144009,0.0026343300342986,0.0026066781163334,0.000315858781577,0.006065237802301,4.32597060899716e-05
23,0.032377224052119,1.0,0.589092982210309,0.244102147394053,0.0329894179373153,0.0047418598094685,0.0331802902312373,0.0218554149202781
24,0.149191648823516,1.0,0.943480600549133,0.687311564005536,0.0018720218288352,0.0283752271019475,0.1135265367137616,0.0483260948976315
25,0.004523525772538,0.0076353759692052,0.107321594730166,0.0003398998748312,0.0138506670852002,2.5363186529639283e-05,0.0014920091786213,0.0001678571229855
26,0.000854365011237,0.0060934795025608,0.0590211343010353,3.94619640836646e-05,0.0005816097911343,3.260159620098234e-06,0.0005279334654268,0.0004513362835737
27,0.002167794547107,0.0222237719556643,0.0803111918568536,0.0003525510734249,0.0057538986585066,3.062866910276671e-05,0.0016440035517851,4.92568205017919e-05
28,4.14073856969122e-06,8.71530659140061e-07,0.0022076766099445,4.4647618935300695e-12,0.0042873637848928,5.319022325818589e-10,1.4443060979537728e-05,9.1372302754417e-07
29,0.0396544299533004,0.201043276693793,0.302968512689743,0.0608225185628775,0.0152107189072218,0.0018628526144471,0.0180581296129301,0.0017440089286824
30,3.05181656190534e-06,0.0002142857370726,0.0040162208586669,1.0064213906702e-09,5.9076319899320495e-06,7.942979213579562e-12,3.551065184803346e-06,1.24798213978672e-06
31,0.0843575718853873,1.0,0.780729114842987,0.488684919874289,0.0012056033115412,0.0154851509612864,0.0741932535262353,0.0275020602764934
32,0.13682418838199,1.0,0.610078907348183,0.548123211698391,0.0057914559128038,0.0228700654816448,0.0974759644875886,0.14334160632422
33,0.0049934462700969,0.378841653414575,0.395524353119961,0.0255159433452858,0.015611703670145,0.003032779649077,0.0248031400862809,0.0089493882213252
34,0.0006677804296948,0.0014378634142753,0.0469725772821686,7.25969664805426e-06,0.1297308201916895,2.856962617489428e-06,0.0004953243813645,0.0002107380800128
