test,period,n_components,p,q,p_reject,q_reject,amplitude,CI(amplitude),p(amplitude),q(amplitude),acrophase,CI(acrophase),p(acrophase),q(acrophase),mesor,CI(mesor),p(mesor),q(mesor),peaks,heights
3.0,24.0,1.0,3.0135616224669093e-10,2.433573855252182e-09,0.7949542868366786,0.9235374114475228,1.0218983687921455,"[0.8582613361166739, 1.1997224743513102]",0.0,0.0,0.03144737390980801,"[-0.1298510015367401, 0.20177774382726374]",0.6704824533405618,0.7706694865983469,0.010768746034917065,"[-0.10739127760990069, 0.1315360127992667]",0.8428473454992345,0.9881714659958081,[21.38138138],[0.94719242]
30.0,24.0,1.0,4.598970759772669e-09,1.7464445923187353e-08,0.2068412966771358,0.4759373152331856,0.8524105207069794,"[0.7002447852975736, 1.0209502510840627]",0.0,0.0,-0.02515789912784605,"[-0.23868524374139763, 0.17154621350962937]",0.74815629013866,0.827779962853105,0.03833915470675031,"[-0.08583450976924253, 0.15433203009089344]",0.5758250230400812,0.9881714659958081,[23.92792793],[0.89808575]
31.0,24.0,1.0,1.91526794424135e-11,4.419849102095423e-10,0.09254573559403534,0.32080139945514224,0.9625684848079565,"[0.8228795251141066, 1.1107045953893977]",0.0,0.0,0.08176317216550011,"[-0.0670143800025669, 0.2346600327456765]",0.2757522506313712,0.4420046945186687,0.036060770923126206,"[-0.06812526327043786, 0.13558822614175722]",0.5159309523030746,0.9881714659958081,[0.76876877],[0.96220229]
32.0,24.0,1.0,3.496702927208162e-11,5.800376052483053e-10,0.7667478337367669,0.9155913018317202,1.0170640951337344,"[0.8864400307637783, 1.161229012683316]",0.0,0.0,0.05660527303765406,"[-0.10022536404184912, 0.22461262803947868]",0.45257519612780905,0.6096369209524483,-0.062577568061283,"[-0.17812237172812895, 0.04730950485966984]",0.2551002461743468,0.9881714659958081,[1.48948949],[0.96030648]
33.0,24.0,1.0,1.4217116595105495e-08,4.35217854952209e-08,0.20269509224299131,0.47506662244451087,0.9722299886680879,"[0.7949751238441202, 1.15973933958275]",0.0,0.0,0.08176317216550011,"[-0.13226233592382475, 0.29792545530035686]",0.450013874765554,0.6096369209524483,-0.05468684412678826,"[-0.19291988358290957, 0.08889328984301564]",0.4690103291277352,0.9881714659958081,[23.97597598],[1.12532766]
34.0,24.0,1.0,1.0285039486745973e-10,1.142782165193997e-09,0.43891917942621295,0.7501110180046733,0.9135912510704709,"[0.8040202364382775, 1.0318359703245232]",0.0,0.0,0.03144737390980801,"[-0.1544187685792978, 0.2124940357915915]",0.7561682693372798,0.827779962853105,0.11468548696603642,"[0.015755521236069686, 0.21310657645161848]",0.023076990333642744,0.9354563443183602,[1.58558559],[1.08721752]
35.0,24.0,1.0,4.927753760597398e-10,3.5314354615171133e-09,0.7927385165763581,0.9235374114475228,1.047295994495017,"[0.8668999038875016, 1.2287794740995925]",0.0,0.0,0.09434212172942313,"[-0.0718305111632985, 0.25335533588458137]",0.27359792537027605,0.4420046945186687,-0.07207684337775166,"[-0.1965924203101078, 0.04723102439599347]",0.2296124287893544,0.9881714659958081,[2.64264264],[1.09140272]
36.0,24.0,1.0,1.8858470340887834e-11,4.419849102095423e-10,0.16066255355140857,0.4144173773319906,0.9371187917708683,"[0.8119344987921544, 1.0629521290957347]",0.0,0.0,0.11950002085726918,"[-0.04287400000561273, 0.2755565227736483]",0.15190883756159912,0.2978604658070571,-0.08418072720436487,"[-0.18266192427315248, 0.015952724544048988]",0.09984952592288421,0.9881714659958081,[0.24024024],[1.00463118]
37.0,24.0,1.0,3.647877555579271e-09,1.519948981491363e-08,0.636646510321154,0.8889303585377154,0.9238894785278328,"[0.768780717572808, 1.0934547651767526]",0.0,0.0,0.16981581911296217,"[-0.03407977305504378, 0.3623139076937015]",0.10449512557463514,0.22233005441411732,-0.06512666723107641,"[-0.18500399605204337, 0.05981602193705832]",0.31589218026614185,0.9881714659958081,[0.24024024],[0.98185265]
38.0,24.0,1.0,2.8934722395845824e-09,1.2580314085150358e-08,0.5382186822834403,0.8260953749503045,0.9034617875389793,"[0.7571258339284003, 1.061131394979249]",0.0,0.0,0.05660527303765406,"[-0.16747015922538433, 0.2756686691026623]",0.6319482781563575,0.7498171541202625,0.04266851923423276,"[-0.08268577190333717, 0.16715988832616785]",0.5071769081480677,0.9881714659958081,[23.4954955],[1.06504489]
39.0,24.0,1.0,2.4623219019304088e-09,1.1364562624294194e-08,0.16300416841724963,0.4144173773319906,0.9522079424068939,"[0.7558264822535432, 1.1510782351879667]",0.0,0.0,0.05660527303765406,"[-0.1217223080945792, 0.2297926711996289]",0.5464416548329005,0.6746193269541981,0.035554273808542036,"[-0.09671165299530582, 0.1639675807945471]",0.6127646720405084,0.9881714659958081,[0.14414414],[1.02799469]
4.0,24.0,1.0,4.944009646123959e-10,3.5314354615171133e-09,0.18594968036888193,0.45725331238249656,0.9769578952007139,"[0.8247889375660471, 1.1328105797871466]",0.0,0.0,0.14465791998511524,"[-0.034688459031763874, 0.3349458793086725]",0.11124577854430995,0.22703220111083663,0.003587878299482594,"[-0.1166882267139901, 0.12130323008659002]",0.9696532248039789,0.9881714659958081,[23.3033033],[1.00723663]
40.0,24.0,1.0,5.532241331707155e-12,2.494718717319496e-10,0.10186021722766492,0.3291868274869235,0.9776659212334274,"[0.8594186522810032, 1.109030912386724]",0.0,0.0,-0.10063159651138509,"[-0.24204110368853238, 0.049309550309870165]",0.1945487592545534,0.3602754801010248,0.04075138568029757,"[-0.05791421294739142, 0.13666686898222596]",0.4272569897543277,0.9881714659958081,[22.82282282],[1.05514259]
41.0,24.0,1.0,5.3620252682407e-10,3.564072949812237e-09,0.31941248653375287,0.6064794048109232,0.9127873112527098,"[0.7695605306404125, 1.0597818665599068]",0.0,0.0,0.05660527303765406,"[-0.11868416934131823, 0.2511346226618446]",0.48233603366158473,0.6346526758705062,0.0175440185370751,"[-0.09532443495828867, 0.1297792255002303]",0.7639648727672421,0.9881714659958081,[23.78378378],[0.94592407]
42.0,24.0,1.0,8.02724553494727e-12,3.010217075605226e-10,0.6102823799339802,0.8802149710586252,1.0352489906832245,"[0.8837354433363447, 1.1967404141022202]",0.0,0.0,0.03144737390980801,"[-0.09031210869631341, 0.1467129019849837]",0.6406405253329495,0.7498171541202625,-0.018947584879102086,"[-0.12162176987778744, 0.07697321130162021]",0.6591790855509208,0.9881714659958081,[23.4954955],[0.88946145]
43.0,24.0,1.0,7.290751335986556e-10,4.5567195849915976e-09,0.48470306260424345,0.7902767325069188,0.8857914008381913,"[0.7246375569258396, 1.0545485911088082]",0.0,0.0,0.006289474781961069,"[-0.16936431710799085, 0.17689328952324204]",0.965973969840525,0.9856877243270663,0.01078483661763252,"[-0.09802628747737396, 0.11972163248600698]",0.8450267804801883,0.9881714659958081,[1.2972973],[0.98431023]
44.0,24.0,1.0,1.2017054018542694e-12,8.231415549175836e-11,0.28294554807107875,0.5813949617898878,0.9756319199006195,"[0.8781809209097855, 1.0853347990021298]",0.0,0.0,-0.07547369738353815,"[-0.22885083258711145, 0.08969280464787996]",0.391504597231219,0.5592922817588843,0.07219314735719606,"[-0.018239075497509763, 0.15989660720081533]",0.11895859989651658,0.9881714659958081,[23.78378378],[0.87315303]
45.0,24.0,1.0,2.7094726462451035e-10,2.3224051253529457e-09,0.9069701142158015,0.9747843431236882,0.9834213807447698,"[0.8311863377103307, 1.1420406940339813]",0.0,0.0,-0.08805264694746207,"[-0.2608272750161037, 0.09102155438074058]",0.34384396044509646,0.5056528830074948,0.12343205534717872,"[0.007053619354105672, 0.2408838972346961]",0.037712838882284494,0.9428209720571123,[23.92792793],[0.92780541]
46.0,24.0,1.0,8.253397965063414e-13,8.231415549175836e-11,0.651758190965077,0.892458666186045,1.001825988432103,"[0.8732678918297019, 1.1266394761388647]",0.0,0.0,-0.0503157982556921,"[-0.1639948345899725, 0.0822501724293417]",0.5149192161087743,0.6601528411650953,-0.0238002396699446,"[-0.1118252967029157, 0.06028043345626165]",0.5568576682195436,0.9881714659958081,[23.44744745],[0.90323999]
47.0,24.0,1.0,4.3699821539178174e-11,5.959066573524296e-10,0.524029112528628,0.822036838712011,1.0830404924119406,"[0.9337672568296501, 1.2294728947080151]",0.0,0.0,-0.012578949563923025,"[-0.17563862707735575, 0.14736361613523316]",0.8636452617065946,0.909100275480626,0.00930471980615355,"[-0.10685386607601736, 0.12163778895705997]",0.8989911648934887,0.9881714659958081,[0.28828829],[1.04572877]
48.0,24.0,1.0,4.0602632367381375e-11,5.800376052483053e-10,0.5612125574813095,0.8376306828079245,1.069937618483249,"[0.9021528141750892, 1.242485962511103]",0.0,0.0,-0.11321054607530812,"[-0.2619712844411045, 0.026082947669181178]",0.10837751992806677,0.2257864998501391,0.10471934364146518,"[-0.007258360871416181, 0.22205109228825573]",0.06634246935137522,0.9820713675566362,[23.68768769],[1.02028886]
49.0,24.0,1.0,5.821010340412158e-12,2.494718717319496e-10,0.7562247943996803,0.9155913018317202,0.9923990856232916,"[0.8750694566993173, 1.1192186618404032]",0.0,0.0,0.08176317216550011,"[-0.08266658382517222, 0.22695158585838848]",0.360690015197612,0.5227391524603073,-0.06939896007278334,"[-0.16668593322762854, 0.030307099637992677]",0.17460037433609532,0.9881714659958081,[23.83183183],[1.02218245]
5.0,24.0,1.0,7.649436639667329e-13,8.231415549175836e-11,0.3312066888553755,0.6127894374327061,1.1075198236316348,"[0.976834728230986, 1.2440191000249705]",0.0,0.0,0.20755266780473036,"[0.07991183800643648, 0.3380680742544729]",0.0015326162863462667,0.025543604772437778,0.16883865901026396,"[0.07488056273908018, 0.2680709498571045]",0.0005162968846255112,0.051629688462551115,[23.97597598],[1.10939659]
50.0,24.0,1.0,0.5351221831406392,0.6057986978950632,0.01669647016474063,0.19677159640346997,0.25006714366400357,"[-0.001427632634892373, 0.7516028015528144]",0.050873342430720614,0.07437695946142946,-2.528368862348542,"[-4.446766672507173, -0.7165310303714241]",0.006717261865491597,0.04641547548723535,0.06627188653826419,"[-0.23426080523119788, 0.3671910148141856]",0.6645935621899577,0.9881714659958081,[0.57657658],[1.05567746]
