test,period,p,q,amplitude,p(amplitude),q(amplitude),CI(amplitude),acrophase,p(acrophase),q(acrophase),CI(acrophase),acrophase[h]
29.0,24.0,1.6738740434424638e-11,1.4732821864860885e-10,0.9817508114217577,8.979125235263106e-43,8.16284112296646e-42,"[0.841389862508346, 1.1221117603351694]",-0.018352602165616183,0.8087003824013486,0.8652010700800976,"[-0.16692756726129965, 0.13022236293006728]",0.07010177647816414
30.0,24.0,4.5989708101649125e-09,9.997762630793287e-09,0.852412287117567,2.026003627103202e-24,4.4043557110939174e-24,"[0.6885847388273802, 1.0162398354077538]",-0.028023387182908976,0.783309824970187,0.8607800274397659,"[-0.2277439777209056, 0.17169720335508765]",0.10704145421611266
31.0,24.0,1.915266842431915e-11,1.4732821864860885e-10,0.9625701376632955,3.256288357729265e-42,2.504837198253281e-41,"[0.824003355055857, 1.101136920270734]",0.0854995067155846,0.2623851730832423,0.46300884060445435,"[-0.06401889737478345, 0.23501791080595263]",23.673415940983105
32.0,24.0,3.496699377523794e-11,2.1854371109523714e-10,1.0170653537599321,8.376074661421803e-40,5.2350466633886265e-39,"[0.8660892695349224, 1.1680414379849418]",0.0581259447299356,0.46009770699125574,0.6390245930434107,"[-0.09610029325528757, 0.21235218271515877]",23.777975245784265
33.0,24.0,1.4217116631411982e-08,2.9014523737575474e-08,0.9722312982330487,1.00470675027723e-21,2.050421939341286e-21,"[0.7732488952105729, 1.1712137012555244]",0.08066154175139939,0.45708173888010184,0.6390245930434107,"[-0.13192694859694248, 0.29325003209974126]",23.691895605908435
34.0,24.0,1.0285044313002384e-10,4.897640149048754e-10,0.9135924578498019,8.498291997607748e-36,4.046805713146547e-35,"[0.7702255566738181, 1.0569593590257857]",0.033431434676135297,0.6878160492598865,0.7816091468862346,"[-0.1296373712576163, 0.19650024060988688]",23.87230132599934
35.0,24.0,4.927753366675785e-10,1.4981846227496902e-09,1.0472972995534977,1.2498595308661039e-30,3.896111006428954e-30,"[0.8688769368135163, 1.2257176622934791]",0.09291081304156368,0.30336762407054096,0.4893026194686145,"[-0.0840179073819183, 0.26983953346504563]",23.645106836105956
36.0,24.0,1.885848291008732e-11,1.4732821864860885e-10,0.9371202283698333,2.8231286011198932e-42,2.352607167599911e-41,"[0.8023202977405868, 1.0719201589990799]",0.1218428727884806,0.10974883649509667,0.23858442716325362,"[-0.027475077559101002, 0.2711608231360622]",23.534594508364712
37.0,24.0,3.6478775323074244e-09,8.10639451623872e-09,0.9238907769878323,5.278666082177799e-25,1.173036907150622e-24,"[0.7485579657878784, 1.0992235881877863]",0.168825265993914,0.09268184193382616,0.2260532730093321,"[-0.02796787678788465, 0.36561840877571267]",23.355134985558347
38.0,24.0,2.893472224970838e-09,6.576073238570086e-09,0.9034632314946383,1.3153091945981187e-25,2.9893390786320883e-25,"[0.734178734174294, 1.0727477288149825]",0.05902861075782084,0.5523089355538062,0.6988197963003504,"[-0.13564278554696876, 0.2537000070626104]",23.77452731553709
39.0,24.0,2.4623219043867737e-09,5.990809273931242e-09,0.9522102127245434,4.937036654352883e-26,1.2041552815494838e-25,"[0.7753548204404742, 1.1290656050086125]",0.050372851003538166,0.6089296990779917,0.733650239853002,"[-0.1426072489354825, 0.24335295094255882]",23.80758988236373
40.0,24.0,5.532227930830844e-12,8.315720247339844e-11,0.9776672712570564,1.2720992250783624e-47,2.120165375130604e-46,"[0.8454855087571425, 1.1098490337569704]",-0.09645243247833157,0.17816844297729673,0.35399886546941906,"[-0.23685726673154459, 0.04395240177488144]",0.36842115365192973
41.0,24.0,5.362025490366438e-10,1.577066320696011e-09,0.9127886837355377,2.2610798980702414e-30,6.650234994324239e-30,"[0.7565876046069965, 1.0689897628640788]",0.06059101872328654,0.5041562725440698,0.6722083633920931,"[-0.11719720178429927, 0.23837923923087234]",23.76855935671717
42.0,24.0,8.027274677804598e-12,1.0034093347255747e-10,1.0352510510176574,6.134932317288783e-46,7.668665396610979e-45,"[0.8926418013655677, 1.177860300669747]",0.027958280992412377,0.7018687935349127,0.7819547040223295,"[-0.11519053075049415, 0.1711070927353189]",23.89320723311293
43.0,24.0,7.290751493915988e-10,2.0252087483099967e-09,0.8857926599223774,1.8922784332165782e-29,5.256328981157162e-29,"[0.7317145885026449, 1.03987073134211]",0.005325792732907786,0.9539519307529938,0.9539519307529938,"[-0.1754414298755011, 0.18609301534131667]",23.979656970256197
44.0,24.0,1.2016797973648775e-12,2.7437582365532445e-11,0.9756331650729843,3.666637610737665e-55,9.166594026844162e-54,"[0.8533984421987317, 1.0978678879472368]",-0.07418452366731465,0.26391503914453895,0.46300884060445435,"[-0.20433211394077486, 0.055963066606145556]",0.2833640074216998
45.0,24.0,2.7094724502827837e-10,1.0035083149195495e-09,0.9834236256765889,1.6224454025421412e-32,6.009057046452374e-32,"[0.8210914069433429, 1.145755844409835]",-0.08792706916596948,0.31480029701048773,0.4996830111277583,"[-0.25936936611299954, 0.0835152277810606]",0.33585666454432844
46.0,24.0,8.253132636040784e-13,2.7437582365532445e-11,1.0018282554860678,3.4888447098924086e-57,1.162948236630803e-55,"[0.8786240611273168, 1.1250324498448188]",-0.044165690552288694,0.4981432468894582,0.6722083633920931,"[-0.1719503960403944, 0.083619014935817]",0.1687005111951304
47.0,24.0,4.3699869076193484e-11,2.427770504232971e-10,1.0830430606556587,6.062348904717394e-39,3.367971613731886e-38,"[0.9204268231432944, 1.245659298168023]",-0.018802808520675285,0.8132890058752917,0.8652010700800976,"[-0.1748364467636753, 0.13723082972232473]",0.07182143808182112
48.0,24.0,4.06026524289916e-11,2.388391319352447e-10,1.0699389962814922,3.1882148959112463e-39,1.8754205270066153e-38,"[0.9098893267432062, 1.2299886658197783]",-0.11195931283009841,0.15767856681338188,0.3217929934966977,"[-0.2672659552702372, 0.043347329610040425]",0.4276530734899685
49.0,24.0,5.8210041731378916e-12,8.315720247339844e-11,0.9924013321698911,2.1742834846003846e-47,3.106119263714835e-46,"[0.8578855812926682, 1.126917083047114]",0.0756124844714181,0.29255606529239464,0.4893026194686145,"[-0.06518884849106082, 0.21641381743389704]",23.711181584085953
50.0,24.0,0.5351221831406391,0.8232648971394447,0.2500674935113969,0.2569603342973207,0.3953235912266472,"[-0.1822906403416204, 0.6824256273644143]",-2.5293705460516103,0.004653185632610013,0.02908241020381258,"[-4.281059847530222, -0.7776812445729984]",9.661483807563847
51.0,24.0,0.9147122185702642,0.9470204704804771,0.08800443986181496,0.6722369877314236,0.7002468622202329,"[-0.3196857961645064, 0.49569467588813626]",-1.707692206966298,0.45340080692608575,0.6390245930434107,"[-6.171822940286057, 2.7564385263534605]",6.522903744436664
52.0,24.0,0.9044835445794351,0.9470204704804771,0.0916721790200056,0.653406642803791,0.6951134497912671,"[-0.30846210710510713, 0.4918064651451183]",-1.3197115406886493,0.539927314947483,0.6988197963003504,"[-5.539797057998495, 2.9003739766211964]",5.040926763744468
53.0,24.0,0.2904369146270468,0.5585325281289362,0.32999825705974134,0.10597372464064271,0.20379562430892828,"[-0.07010164642010919, 0.7300981605395919]",-2.287287323540937,0.00020150556278664863,0.0050376390696662155,"[-3.4933282870381355, -1.0812463600437383]",8.736794011511313
54.0,24.0,0.5977432190056151,0.8823979046507173,0.21976147841366528,0.3048228327060679,0.45495945180010133,"[-0.1999883801572695, 0.6395113369846]",-1.9267922972425353,0.04179015090970735,0.14410396865416328,"[-3.7819879968590113, -0.07159659762605908]",7.359804442020912
55.0,24.0,0.2702796571949212,0.5299601121469043,0.3487226374048173,0.09555581634495762,0.1873643457744267,"[-0.06133686747534883, 0.7587821422849834]",-2.9909992498351268,1.5436378265375645e-06,0.00015436378265375645,"[-4.21090321535533, -1.7710952843149232]",11.424775569489869
56.0,24.0,0.6088545542089949,0.8823979046507173,0.23755699795732393,0.3139299319259222,0.4549709158346699,"[-0.22480496956533175, 0.6999189654799796]",-2.663162670204711,0.008714558709372012,0.0414978986160572,"[-4.653096508464765, -0.6732288319446571]",10.17253207730138
57.0,24.0,0.7927240821306811,0.912169182989616,0.16012754774074825,0.49349198825709173,0.5788018803366748,"[-0.2981961908073689, 0.6184512862888655]",-2.5492850657602553,0.08533181359092529,0.21332953397731322,"[-5.453295834370689, 0.3547257028501778]",9.73755166958621
58.0,24.0,0.7346105510436987,0.9089783192955466,0.20599219803177118,0.4292753624405673,0.5317415394793084,"[-0.30478817433013217, 0.7167725703936745]",-2.148610213255674,0.08454819457485115,0.21332953397731322,"[-4.59004750942573, 0.2928270829143824]",8.207086469216927
59.0,24.0,0.6448908338136592,0.9082969490333228,0.2363126032856412,0.3444185333916818,0.4850965259037772,"[-0.25356413850779236, 0.7261893450790747]",-2.1775097998846906,0.03691885767445413,0.13185306312305045,"[-4.22280720875, -0.13221239101938131]",8.317474758784616
60.0,24.0,0.37118773322591736,0.6748867876834861,0.30522196348969843,0.15009937316959596,0.27290795121744715,"[-0.11044794922764978, 0.7208918762070466]",-2.4795164431350036,0.000407592663134518,0.006793211052241967,"[-3.8542265767821977, -1.1048063094878098]",9.471055161661686
61.0,24.0,0.9144507737039754,0.9470204704804771,0.10229957090039697,0.6717626356395827,0.7002468622202329,"[-0.370887154034795, 0.575486295835589]",-1.7830488243801126,0.4339255042338326,0.6347377968679611,"[-6.24917962723692, 2.683081978476695]",6.810744820182905
62.0,24.0,0.4629848569591486,0.8063464407258489,0.2731248577626869,0.2065781886515814,0.3619155402868148,"[-0.1507088096626315, 0.6969585251880053]",3.058655267015663,0.00019976946446762347,0.0050376390696662155,"[1.4468354257961025, 4.670475108235223]",12.316797480969509
63.0,24.0,0.6086382222387758,0.8823979046507173,0.224107489560011,0.3138712849516505,0.4549709158346699,"[-0.21202457002839395, 0.660239549148416]",-2.3419039938015493,0.018215875971261588,0.07589948321358995,"[-4.285850456405212, -0.3979575311978869]",8.945414324644032
64.0,24.0,0.8170380276353849,0.912169182989616,0.13588353975325662,0.5233096636580206,0.586723648878659,"[-0.2813918487066227, 0.553158928213136]",-2.5601507644420156,0.10755565349941967,0.23858442716325362,"[-5.67819781501915, 0.5578962861351191]",9.779055581314593
