CycID,ARS_pvalue,JTK_pvalue,LS_pvalue,meta2d_pvalue,Cosinor_pvalue,Cosinor1_pvalue,Cosinor1(amp)_pvalue,Rain_pvalue
31,0.0096737453120325,0.440691976380001,0.509192740971524,0.0563042076943895,2.4702607160698165e-05,0.0279952966603069,0.0036604664742931,0.0232445683119813
32,5.13918463422858e-05,0.0038324499306206,0.0212561127740724,8.63976191145532e-07,0.0054134003998518,0.0001227802419619,1.288725291465588e-07,0.0004574156350673
33,0.0002664546273638,0.0095285387147614,0.0539467626737433,1.94053416276985e-05,0.000509231311365,0.0004190704273184,1.9842939459119302e-06,0.000164793916678
34,0.000107011111936,0.0023688742750913,0.0309634993949626,1.52127013841596e-06,0.000276173621624,0.0001696988896103,2.745117995707409e-07,0.0001828873713455
35,0.0029234769464964,0.0488599884546946,0.178259903252024,0.0017194644980548,0.0007646481034443,0.0076282178575113,0.0004602365808577,0.0072847835728994
36,0.0096302951369442,0.0589789416030357,0.303869173212117,0.008146735106752,0.009759370845172,0.0086193456435014,0.0005660832542894,0.000425277067169
37,0.0002586322112039,0.040338613070862,0.078295789132111,9.25223439325329e-05,0.0001823861717431,0.0008555781012319,8.542810180198256e-06,0.0016256568492026
38,4.10531603909359e-05,0.0002857574559262,0.0254403549402012,7.86253273599158e-08,0.0011695879552294,0.0004519218836865,2.330487165085328e-06,0.0001742166953119
39,6.13846160391063e-06,0.000499885700757,0.0118040306869165,1.13746801977399e-08,0.0021205481025232,0.0003399126049072,1.2672915489019492e-06,8.2130499356052e-05
40,0.000593140266877,0.0146640209743332,0.0669559943136259,6.89561303013342e-05,0.0026594070375631,0.0023861326008713,6.055654120635132e-05,3.5011206940565e-05
41,0.0072946544584746,0.0850786733599917,0.258685445530668,0.0076907509973517,0.0071726301739686,0.0070351953742376,0.0004024918259388,0.0035903997837631
42,0.0169635441309259,0.0180863929339791,0.487028163765252,0.0072628615710376,0.000479386230665,0.0196608585036196,0.0021214725419509,0.0010590764698136
43,6.93020677220435e-05,0.0018498592938576,0.0243239787893947,6.62301827270007e-07,8.308212938568094e-05,8.993228951084868e-05,6.172665584013005e-08,4.58448405140733e-05
44,3.69834696964944e-05,0.0002857574559262,0.0210333838931174,6.00726487443026e-08,0.0046290138056871,0.00017498810514,2.925196054624611e-07,9.64868626492729e-05
45,2.47966005351152e-06,1.21948407725852e-05,0.0067338698802182,9.309764070764001e-11,0.0016183665933585,3.752117619708224e-06,9.176942947720218e-12,9.75398036033854e-08
46,0.0016051184088208,0.0146640209743332,0.12009568577143,0.0002696560979497,0.4170732677877251,0.0018677565462343,3.878848387320374e-05,0.0003667719901304
47,0.0001687586791941,0.0014378634142753,0.0348404267099087,1.62620396060298e-06,1.6331356276211295e-06,0.001020287336322,1.2147713084506512e-05,4.73626245527091e-06
48,0.0033633189716019,0.0331873774907249,0.141791276117472,0.0011576789906481,0.0040461002417226,0.0106060340399417,0.0007924963510531,0.0125019172302712
49,0.0030607135850471,0.040338613070862,0.166533750318629,0.0014398294151936,0.1575087469960741,0.0043202514075148,0.0001749273116839,0.0027123199055251
50,0.0085934579305027,0.143867005356704,0.253085545426772,0.0130255222010257,0.0001694559469453,0.0071854725432664,0.0004183736838216,0.0113608472790843
51,0.0074285908376965,0.0850786733599917,0.328340905059085,0.0094291347726749,0.0155850618251657,0.0124816937935945,0.0010312122153282,0.0042173403746093
52,0.0034498752045547,0.0331873774907249,0.173208039539466,0.0013971709614544,0.0005030109559034,0.0050545873396472,0.0002306977773902,4.13569305082212e-05
53,9.59370195385834e-05,0.0023688742750913,0.0304228530023521,1.35732862061033e-06,1.7855151659640356e-05,0.0001485398471542,2.0114253633670529e-07,4.57903754945702e-05
54,0.0009636965180455,0.0076353759692052,0.131196343856933,0.0001069361151863,0.0432339737859598,0.0024341536880029,6.265672017194776e-05,0.0035903997837631
55,0.0046642396656725,0.143867005356704,0.226850755759146,0.0073712214239247,9.216105034648424e-05,0.0052888333122722,0.0002483331599957,0.0039581326972961
56,0.000263693819569,0.0038324499306206,0.034899658872791,5.83345964333404e-06,7.197645342182923e-05,0.000175463274028,2.971805045210849e-07,1.03409383637138e-05
57,0.0001075502252642,0.0023688742750913,0.0269644804871874,1.34953048869235e-06,0.0002207856607585,0.0001119648694155,1.041497600457807e-07,5.45313620972894e-05
58,2.15646704233574e-05,0.0038324499306206,0.0128501219998932,2.49725281453728e-07,0.0001239224563661,2.266603638652441e-05,1.817319357813918e-09,0.0001679815703662
59,0.0527489454283319,0.682303761313899,0.842080712574899,0.321518893930471,0.0075806653369456,0.0692853498984184,0.0139670913417206,0.0536253646583957
60,0.0001157509100103,0.0030197661591326,0.0432242430854711,2.73695916930272e-06,0.0004230990780632,0.0006284343097953,4.587798419678814e-06,0.0002903820886312
61,0.000104623590716,0.0030197661591326,0.0296708500059569,1.78426684949162e-06,0.000433993630763,0.0001664556265079,2.611212369685901e-07,9.3161181898209e-06
