test,period,n_components,p,q,p_reject,q_reject,RSS,R2,R2_adj,log-likelihood,amplitude,acrophase,mesor,peaks,heights,troughs,heights2,ME,resid_SE
18.0,24.0,2.0,0.6454645057036591,0.9994819832810439,0.013015641036202674,0.020825025657924278,122.77476399007048,0.09886651445180061,-0.057852352600060275,-60.424336642058094,1.13102453925835,-1.7358950398213873,19.371589165435957,[6.63063063],[20.50258195],[17.87387387],[18.24056463],4.779464621589005,2.310418407336556
19.0,24.0,2.0,0.8058828489767931,0.9994819832810439,0.05469399598913305,0.0614108025141143,2522.894771537753,0.06519260237127433,-0.09738259721633025,-102.7436871486356,5.778262194400625,-1.7233160902574642,34.79777964772079,[6.58258258],[40.57604184],[13.54954955 23.44744745],[29.89750343 29.0195451 ],21.665776843306293,10.47335080207765
2.0,24.0,2.0,0.9407330985858406,0.9994819832810439,0.0056665286774524315,0.012088594511898521,20267.02492186821,0.03212329679069148,-0.13620308637614498,-131.91392217401886,6.224916356522959,1.440289725069194,34.96234136600864,[18.4984985],[41.1869706],[ 2.4024024  10.52252252],[29.27131087 28.73742501],61.40725695773608,29.684591905616045
20.0,24.0,2.0,0.995239129933266,0.9994819832810439,0.001802775249915678,0.0076615299906563905,434.0990879344261,0.008380813562313016,-0.16407469712250222,-78.10523528483219,0.6430989862198402,2.735921530153273,39.69979185746266,[13.54954955],[40.34289084],[4.70870871],[39.05669287],8.987090890627158,4.344407138891716
21.0,24.0,2.0,0.6539757248220512,0.9994819832810439,0.09414860611536635,0.10042517985639078,475.6159486243289,0.09708216532996983,-0.05994702330829638,-79.38396555853956,2.3756189954379643,0.8490790955648082,18.43164924325221,[20.75675676],[20.80724425],[6.39039039],[16.05607535],9.407038075370782,4.54741182300595
22.0,24.0,2.0,0.9405630042207939,0.9994819832810439,0.008235191764312422,0.015481222041165057,290.198513624791,0.03217516763372985,-0.13614219451692589,-72.46732884680382,1.298858546433781,-1.559789745926464,37.21515145794692,[ 5.95795796 14.99099099],[38.51396749 38.0288736 ],[22.39039039],[35.91635563],7.34805315181149,3.5520876508524872
23.0,24.0,2.0,0.9735939332425351,0.9994819832810439,0.0019153824976640976,0.0076615299906563905,10020.143856906743,0.020597999989447224,-0.1497327826210837,-122.05235402845321,5.10060774573919,-1.1446844103170015,98.63125891785864,[ 4.37237237 13.21321321],[103.55465263 103.73186666],[20.8048048],[93.53086102],43.177915848198346,20.872432262703903
24.0,24.0,2.0,0.9821222694478844,0.9994819832810439,0.053129317705503554,0.060719220234861204,490.6979896585838,0.016720634943356738,-0.1542844720230161,-79.82101963411401,1.4581461392931665,2.6352899336418885,38.848082610913266,[ 3.6036036  13.93393393],[39.33764166 40.30616975],[ 7.87987988 21.09309309],[38.76139582 37.38993647],9.55502519632235,4.618949577831211
25.0,24.0,2.0,0.9994819832810439,0.9994819832810439,0.03850073028757661,0.04715323689792683,3044.341949839572,0.0027102030991593695,-0.17073150070968257,-105.37397646434789,1.170594038297807,-1.496894998106848,64.92061897600179,[ 5.71771772 15.03903904],[66.09117878 65.97937459],[22.34234234],[63.75002494],23.7996961965778,11.504898672795242
26.0,24.0,2.0,0.9910407747592465,0.9994819832810439,0.01892871493976489,0.026187825215771607,1078.4365788135678,0.011628057747935516,-0.16026271481764098,-90.84516301475855,1.2125811334018533,1.2138686329185795,25.175006785057022,[ 6.72672673 19.36336336],[25.74900694 26.38758792],[ 1.44144144 12.78078078],[24.53831105 23.96248696],14.165176891295982,6.847521223401775
27.0,24.0,2.0,0.9956828099927988,0.9994819832810439,0.03904877430609566,0.04715323689792683,1490.4805176548125,0.007969273833279167,-0.16455780897832462,-95.37536957555085,1.2082362934116802,0.9119738433844242,61.800395170554864,[20.51651652],[63.00863146],[ 3.21921922 13.78978979],[60.60653981 60.59215888],16.652822350054663,8.050062159238308
28.0,24.0,2.0,0.6250132465540574,0.9994819832810439,0.07662782037939542,0.08312170346239503,196.0674700871115,0.10317541521626339,-0.05279407778960388,-66.97783947914726,1.5631252859652598,0.9874475407679633,34.121287291487306,[20.22822823],[35.68441258],[5.23723724],[32.55818054],6.039868312434515,2.919704199483761
29.0,24.0,2.0,0.7516789813501819,0.9994819832810439,0.15668034711196044,0.15668034711196044,84.96712168692258,0.07671500842079848,-0.08385629446254095,-55.27111707898695,0.7540305613340748,-0.8427896207828471,2.276601386259351,[3.21921922],[3.03063195],[ 9.8978979  19.93993994],[1.97908939 1.52257082],3.9760345585899164,1.9220360771952518
3.0,24.0,2.0,0.9616184363315202,0.9994819832810439,0.017238351646210348,0.024516766785721383,127.68625303450007,0.025238399099657527,-0.1442853575786629,-60.973481282057975,0.5618011489077741,-2.0126319302276947,31.412903155383233,[ 7.68768769 17.77777778],[31.97469432 31.50281296],[ 0.28828829 14.07807808],[30.85110201 31.37082228],4.874126188261348,2.3561783079578906
30.0,24.0,2.0,0.8444449303524304,0.9994819832810439,0.009210768423452365,0.01637469941947087,488.9020887276098,0.056666953209584925,-0.10739096797135694,-79.76968717353861,2.2526320025993307,-1.6981581911296182,56.977650095305876,[ 6.48648649 16.67267267],[59.2302821  57.50400215],[12.68468468 23.15915916],[56.84541629 54.72501809],9.537523995355109,4.610489404973657
31.0,24.0,2.0,0.997022503750355,0.9994819832810439,0.005106956594750467,0.01189457829522895,5048.457774716988,0.006586334150265216,-0.16618125991055832,-112.45514897003835,1.9790900970948417,0.9119738433844242,26.94107129991869,[20.51651652],[28.92010288],[5.23723724],[24.9619812],30.648135660862145,14.815470431887402
32.0,24.0,2.0,0.9634454786160712,0.9994819832810439,0.0075156357435059995,0.014575778411648,200.41053933962792,0.02457334590123872,-0.1450660722028938,-67.28456721807906,0.6986756928506939,2.232763547596349,17.64686920307178,[ 2.93093093 15.47147147],[18.11185591 18.3455449 ],[ 9.03303303 21.42942943],[16.94819351 17.27676178],6.106396151348332,2.9518641077154286
33.0,24.0,2.0,0.9811404255438871,0.9994819832810439,0.016587060909322382,0.024516766785721383,45.93227317439654,0.017202563415008587,-0.1537187299041205,-46.659767636943926,0.4137933578436397,-1.3585265529036947,5.64137074022122,[ 5.18918919 16.0960961 ],[6.05515303 5.89269809],[11.003003   22.43843844],[5.55153004 5.22758753],2.923369198410344,1.413172089806668
34.0,24.0,2.0,0.9255888252452045,0.9994819832810439,0.00846629330376214,0.015481222041165057,911.5463297067639,0.036553124971092976,-0.131002853294804,-88.49140967862223,2.1276720130381825,-0.06289474781961513,31.508290151140134,[ 0.24024024 14.17417417],[33.63596216 33.29592404],[7.25525526],[29.38072608],13.02309086159006,6.295430812715313
35.0,24.0,2.0,0.9913551128855022,0.9994819832810439,0.023851210713035864,0.03115260174763868,757.970158547863,0.011413696464861789,-0.16051435632385802,-85.90843201403653,1.5588498779344242,2.6352899336418885,34.73729277377488,[ 3.31531532 13.93393393],[35.02009998 36.29610151],[ 7.63963964 21.09309309],[34.37623724 33.17847487],11.875468474939051,5.740664097880113
36.0,24.0,2.0,0.993360409052767,0.9994819832810439,0.0066449997060894495,0.013289999412178899,5036.402621359422,0.009951727029200885,-0.16223058131354695,-112.4216785558205,3.4198108585362377,-1.58494764505431,133.4101388036826,[ 6.05405405 17.00900901],[136.82991283 133.58558397],[12.54054054 22.91891892],[132.02268576 129.99032795],30.611521627645413,14.797771015109912
37.0,24.0,2.0,0.9232242218330053,0.9994819832810439,0.026898398488929942,0.03442995006583033,93.56552220734085,0.03721487050232297,-0.1302260215842297,-56.62068327123001,0.5068808892262329,-1.6981581911296182,30.84257588555633,[ 6.48648649 18.30630631],[31.13201467 31.34945677],[ 0.62462462 12.15615616],[30.3357021  30.42187098],4.1723681368182275,2.0169447644712193
38.0,24.0,2.0,0.5994891866124545,0.9994819832810439,0.01472325671453889,0.02243543880310688,357.524360768338,0.10860710584634214,-0.04641774531081588,-75.38826481278372,1.9482099293927444,-1.8491055858966945,31.060961618008662,[7.06306306],[33.00913098],[18.69069069],[29.1127643],8.156005625716531,3.942656138279161
39.0,24.0,2.0,0.8990060967939983,0.9994819832810439,0.068486623148595,0.07557144623293241,6812.940279046125,0.043646827938110255,-0.12267546285526199,-116.65152269727875,7.395616881082589,-1.534631846798618,48.04580844403132,[5.86186186],[55.44134088],[13.54954955 22.15015015],[42.11328047 40.65042347],35.60344219538218,17.21089174741204
4.0,24.0,2.0,0.9590743035517587,0.9994819832810439,0.0003269116677681039,0.006857170265821111,3168.1734831901726,0.02614380856116527,-0.14322248560211048,-105.93216296287986,3.206123792355319,-1.0063159651138474,13.18092709697902,[ 3.84384384 14.51051051],[16.38705089 13.75048595],[10.13813814 20.70870871],[12.38963688  9.97484312],24.278909406844683,11.736552866245754
40.0,24.0,2.0,0.8063647269950214,0.9994819832810439,0.0016458323654495732,0.0076615299906563905,153.09528324179993,0.06508821649232555,-0.09750513716118325,-63.5142627010416,1.0269888334528812,-1.8868424345884645,31.46839274806338,[ 7.20720721 16.04804805],[32.495352   32.08743636],[23.54354354],[30.44140391],5.337103224627934,2.5799838493073852
41.0,24.0,2.0,0.5775654940997957,0.9994819832810439,0.028925701825434635,0.03629891993780033,2184.844898289921,0.11333331764788512,-0.040869583630743556,-100.72961747071938,7.419863819578424,-1.6101055441821561,105.63049439173234,[ 6.15015015 15.42342342],[113.05033897 105.8547553 ],[13.06906907 22.34234234],[105.47805563  98.21077962],20.16206466077431,9.746448401719872
42.0,24.0,2.0,0.9332273525053181,0.9994819832810439,0.00545843863590012,0.012046209403365782,2699.45345804423,0.03436356464498902,-0.13357320672109996,-103.69068030705566,4.147670477692017,2.35855304323558,23.150934830044456,[ 1.05705706 14.99099099],[23.83491922 27.29857168],[ 7.59159159 21.33333333],[19.00345764 22.86914323],22.41107140356644,10.833630123559551
43.0,24.0,2.0,0.9872209143007847,0.9994819832810439,0.13983269394302877,0.14205226051355305,574.3300578847525,0.014003135546945211,-0.15747458001010783,-82.02427521446423,1.1774024679495785,2.5095004380026573,19.397937332662018,[ 0.57657658 14.41441441],[20.17709211 20.5753398 ],[7.3033033],[18.22058972],10.337260727013357,4.997086359264342
44.0,24.0,2.0,0.7111241695779694,0.9994819832810439,0.02205888083534502,0.029411841113793358,2378.492330957898,0.08517503023208384,-0.0739249645101625,-101.91852506895569,6.296133231306619,0.45913165908319264,78.24653078322751,[13.83783784 22.24624625],[82.42842061 84.5426362 ],[6.1021021],[71.95039755],21.03660125138915,10.169204002361628
45.0,24.0,2.0,0.8865783534734324,0.9994819832810439,0.011599817526432354,0.019890712640558212,399.68670509656266,0.04675585972496932,-0.11902572988807969,-76.94894982870161,1.1014481751286276,-2.6541583579877734,49.92860603077024,[10.13813814],[51.03001388],[2.01801802],[48.82715786],8.623519474431633,4.168654798647321
46.0,24.0,2.0,0.8502372337453883,0.9994819832810439,0.11144215916820599,0.1150370675284707,2481.206434096843,0.05534919772831992,-0.10893789831892886,-102.5104183945644,4.6378728102871065,0.735868549489501,56.72921469479988,[21.18918919],[61.36708751],[5.52552553],[52.09134188],21.486028456898836,10.386459484006387
47.0,24.0,2.0,0.5898959091679468,0.9994819832810439,6.860742088721228e-05,0.002195437468390793,450.8170511747528,0.11066752053981188,-0.043998997627177516,-78.6342782671708,2.9088100550967795,-1.7862108380770794,74.42115438677894,[ 6.82282282 15.75975976],[77.32996444 74.49579827],[22.96696697],[71.51237786],9.158510849169168,4.427272451004573
48.0,24.0,2.0,0.8250557272373679,0.9994819832810439,3.2691229067016714e-05,0.0020922386602890697,109.91393618765098,0.06100125070408258,-0.10230287960825102,-58.875183044988646,0.9777576376465369,-1.7862108380770794,31.43554830085426,[6.82282282],[32.41327538],[14.99099099 22.53453453],[30.45779066 30.64061267],4.5222136620499045,2.186061936626553
49.0,24.0,2.0,0.7523514359703862,0.9994819832810439,0.0011591784311258957,0.007418741959205733,560.3541638702195,0.07657401452362034,-0.08402180903748935,-81.67938205759964,2.020229058148523,-2.0755266780473107,48.03161308707504,[ 7.92792793 16.96096096],[50.05184215 48.38501488],[0.14414414],[46.01138403],10.210711345708003,4.935911720857303
