"","pVal","phase","peak.shape","period"
"200",0.792339855317545,4,20,24
"201",0.82244166858644,12,20,24
"202",0.751400900712803,24,16,24
"203",0.847023045099432,4,16,24
"204",0.853435581865525,24,4,24
"205",0.874026929435918,24,12,24
"206",0.947136758718211,24,12,24
"207",0.858165449544497,8,8,24
"208",0.807060226691529,20,20,24
"209",0.753471490893032,4,20,24
"210",0.868156695301513,8,20,24
"211",0.843504950469846,20,12,24
"212",0.829052997032332,4,8,24
"213",0.843504950469846,24,12,24
"214",0.883182534438062,24,12,24
"215",0.840410509072998,4,8,24
"216",0.932232670834816,8,8,24
"217",0.773782797230177,4,4,24
"218",0.789544001842982,16,4,24
"219",0.843054263445024,24,20,24
"220",0.879455806354932,12,12,24
"221",0.817815353889107,4,16,24
"222",0.878481505955709,20,12,24
"223",0.868156695301513,12,20,24
"224",0.953770141818736,16,16,24
"225",0.789544001842982,24,20,24
"226",0.843504950469846,12,12,24
"227",0.81623489096897,12,20,24
"228",0.847023045099432,8,16,24
"229",0.912152653258746,4,8,24
"230",0.773782797230177,12,20,24
"231",0.932232670834816,12,16,24
"232",0.731059260965724,4,16,24
"233",0.809284193922146,20,16,24
"234",0.947136758718211,24,8,24
"235",0.942274078237427,16,16,24
"236",0.728355774529931,12,12,24
"237",0.787564752990127,12,12,24
"238",0.81623489096897,4,20,24
"239",0.898093133070531,8,4,24
"240",0.903962452769447,12,8,24
"241",0.790554842092803,4,16,24
"242",0.903962452769447,24,8,24
"243",0.886936270735144,8,12,24
"244",0.947136758718211,8,12,24
"245",0.780381186996355,24,16,24
"246",0.822362159773841,24,20,24
"247",0.903962452769447,4,16,24
"248",0.773782797230177,4,20,24
"249",0.885344365502988,16,4,24
"250",0.790554842092803,4,12,24
"251",0.824303698808858,4,20,24
"252",0.749381567506688,8,16,24
"253",0.915892998676509,20,20,24
"254",0.921184498073651,24,12,24
"255",0.817815353889107,20,20,24
"256",0.917520280070839,24,16,24
"257",0.957620427320016,4,16,24
"258",0.847023045099432,12,20,24
"259",0.853435581865525,8,4,24
"260",0.886936270735144,24,4,24
"261",0.951641433696972,12,20,24
"262",0.817815353889107,8,16,24
"263",0.800464962651907,16,8,24
"264",0.844380921692038,4,16,24
"265",0.800464962651907,12,12,24
"266",0.840410509072998,4,20,24
"267",0.809284193922146,16,20,24
"268",0.785419342151987,12,4,24
"269",0.844380921692038,16,8,24
"270",0.848314510386836,12,12,24
"271",0.853691607787323,12,12,24
"272",0.921184498073651,12,12,24
"273",0.843504950469846,24,12,24
"274",0.840410509072998,24,12,24
"275",0.903962452769447,20,8,24
"276",0.883182534438062,4,8,24
"277",0.887881607029039,4,12,24
"278",0.844380921692038,4,16,24
"279",0.824303698808858,24,20,24
"280",0.728355774529931,12,12,24
"281",0.800464962651907,24,12,24
"282",0.868156695301513,24,16,24
"283",0.790554842092803,8,20,24
"284",0.868156695301513,20,20,24
"285",0.861858384588014,4,12,24
"286",0.838101004641203,4,20,24
"287",0.829052997032332,16,16,24
"288",0.838101004641203,8,4,24
"289",0.753471490893032,16,4,24
"290",0.87453738318104,16,12,24
"291",0.932232670834816,24,8,24
"292",0.886936270735144,4,4,24
"293",0.749381567506688,24,12,24
"294",0.853691607787323,20,12,24
"295",0.773782797230177,8,4,24
"296",0.951641433696972,12,20,24
"297",0.921184498073651,4,12,24
"298",0.903755304074835,24,4,24
"299",0.728355774529931,20,12,24
"300",0.838101004641203,16,4,24
"301",0.843504950469846,12,12,24
"302",0.790554842092803,20,12,24
"303",0.790554842092803,20,4,24
"304",0.527373218793948,4,12,24
"305",0.847023045099432,16,20,24
"306",0.879455806354932,16,16,24
"307",0.861858384588014,24,12,24
"308",0.859758663589086,24,20,24
"309",0.853691607787323,4,16,24
"310",0.915892998676509,4,16,24
"311",0.790554842092803,8,12,24
"312",0.871625044826851,4,4,24
"313",0.840410509072998,20,16,24
"314",0.921184498073651,16,12,24
"315",0.921184498073651,24,12,24
"316",0.855256646164794,20,12,24
"317",0.858200002003242,8,8,24
"318",0.829052997032332,20,12,24
"319",0.942274078237427,16,12,24
"320",0.948261757628361,16,8,24
"321",0.903755304074835,8,8,24
"322",0.824303698808858,8,4,24
"323",0.886936270735144,4,4,24
"324",0.942274078237427,8,12,24
"325",0.843504950469846,20,12,24
"326",0.886936270735144,24,12,24
"327",0.859758663589086,12,20,24
"328",0.983603680392778,16,4,24
"329",0.855256646164794,20,4,24
"330",0.903962452769447,4,8,24
"331",0.586856435738078,24,16,24
"332",0.932232670834816,24,16,24
"333",0.883969967432627,12,20,24
"334",0.883182534438062,4,4,24
"335",0.778203935487714,4,16,24
"336",0.809284193922146,4,8,24
"337",0.840410509072998,16,12,24
