"CycID","filter_type","ar_method","period_number","period","amplitude","phase","mean","R_square","R2_adjust","coef_var","pvalue","fdr_BH"
"13","1","yule-walker","1","22.1777777777778","1.06369196897465","0.24724649659201","0.231463332830413","0.512313604510071","0.46797847764735","4.74932569629937","0.000371147934006277","0.0046942365439411"
"14","0","burg","1","24.0481927710843","0.918391788332375","21.0983984452259","-0.0174069214525031","0.295071117105392","0.230986673205882","-68.7503566404219","0.0213598577953331","0.0550511798848791"
"15","0","burg","1","26.2631578947368","0.473801944730531","24.889317459608","0.111253959854032","0.0808168050471274","-0.00274530358495184","11.036123375579","0.395751739987614","0.603556107957319"
"16","1","yule-walker","1","21.9340659340659","1.30268826422478","21.8464328161535","-0.147993838483905","0.467311472666328","0.418885242908721","-9.15985973208018","0.00097995645273663","0.00739589775650287"
"17","1","yule-walker","1","27.7222222222222","1.00127832470769","23.7587529546387","0.112088558946497","0.287405739796387","0.22262444341424","11.8176899484403","0.0240583322715191","0.0604025414800881"
"18","0","yule-walker","1","26.972972972973","0.873888238421836","22.8181882743386","0.17739006222617","0.2445979786805","0.175925067651454","6.79425401667366","0.0457045638022113","0.1017239345698"
"19","1","default","1","24","1.10967240102225","22.2965083821612","-0.177258350454723","0.388388733515483","0.332787709289618","-7.72661871859888","0.00447950727683877","0.0180104655482797"
"20","0","burg","1","24.3414634146341","1.17395870241053","22.0822205336564","0.209744619090129","0.430147571898465","0.378342805707416","6.08115117964692","0.00205772073686605","0.0109745105966189"
"21","0","burg","1","25.2658227848101","1.5788192464347","22.2542384301604","0.00959512699657702","0.494139835305471","0.448152547605968","165.784760864741","0.000555054070461525","0.00559334329090046"
"22","0","yule-walker","1","24.95","1.52158329620634","22.3614346052199","0.231183004259526","0.432155259011854","0.380533009831113","7.09761061442136","0.0019793640939636","0.0106819433025559"
"23","1","yule-walker","1","25.2658227848101","1.05723888258767","21.3412954883994","-0.0946344176605944","0.424092230291858","0.371736978500209","-12.1162053024961","0.00231143835306646","0.0117918265231292"
"24","0","burg","1","23.7619047619048","0.992999888303542","21.9158572673021","0.0610220216699812","0.37015896895295","0.312900693403218","19.2231364575568","0.00618785948494571","0.022322138701667"
"25","0","burg","1","24.0481927710843","0.992640104638659","21.9378311869323","-0.0881138618051024","0.333522476370329","0.272933610585814","-14.539043862275","0.0115249907569388","0.0343926910084715"
"26","0","burg","1","27.3424657534247","1.15986043709031","23.3662243308909","0.167059839479339","0.351340768521805","0.292371747478332","7.97183499209845","0.00855426372050982","0.0278097000016574"
"27","0","yule-walker","1","26.6133333333333","0.889162665458575","21.6485410234205","-0.0775191268029996","0.284239162987838","0.219169995986733","-15.7116516406269","0.0252608089472424","0.0626819080576734"
"28","1","burg","1","23.4823529411765","1.15704304362043","22.5918112818518","0.179615559277346","0.373292410637637","0.316318993422877","7.65600490017978","0.00585752962704245","0.0215268850630611"
"29","0","yule-walker","1","22.4269662921348","1.30264681842944","0.553103604773442","-0.187744223803561","0.512555260377351","0.468242102229837","-7.00941853267646","0.000369129936125701","0.00467962827093279"
"30","1","yule-walker","1","25.2658227848101","1.08687708422767","23.7777292195943","0.447101563972069","0.296683930980114","0.232746106523761","3.14054912551155","0.0208284015009892","0.0539037305926222"
"31","1","yule-walker","1","26.2631578947368","1.0615016386692","22.5386480938831","0.120639529319118","0.267211450769602","0.200594309930475","11.7900956848943","0.0327163930644778","0.0775792143876942"
"32","0","yule-walker","1","27.7222222222222","1.40825662065592","20.7798960516935","-0.348805973184998","0.61541798182522","0.580455980172967","-3.61881928187224","2.72194105257473e-05","0.00192810017945318"
"33","0","burg","1","22.1777777777778","1.34843525217867","21.3319859809945","0.161392939633378","0.403224262058258","0.348971922245372","9.31683104846578","0.00341918613133985","0.0151425426542952"
"34","1","yule-walker","1","25.9220779220779","1.48800159997521","21.8139057325161","0.237197034892247","0.533243194383289","0.490810757509042","6.30177371161345","0.00022908531393262","0.00368304363235723"
"35","0","burg","1","24.3414634146341","1.19580973846087","23.0503026940581","-0.071979227046574","0.585231958649643","0.547525773072338","-15.6213467927984","6.24968522358049e-05","0.0024818341686446"
