test,period,p,q,amplitude,p(amplitude),q(amplitude),CI(amplitude),acrophase,p(acrophase),q(acrophase),CI(acrophase),acrophase[h]
3529.0,24.0,2.7305078631137226e-05,0.0005987955840161672,1.4389509072091216,3.0053443722199535e-09,6.590667482938494e-08,"[0.9634583371263474, 1.9144434772918957]",-0.20435270139411177,0.2419894464439718,0.6622590214668084,"[-0.5466724734642642, 0.13796707067604064]",0.7805698214653186
3530.0,24.0,0.0012155590395723185,0.005336080068359607,1.0325082491976154,1.700459975223989e-05,7.467984080913435e-05,"[0.561992237463386, 1.503024260931845]",-0.0657591418395258,0.7854355581195549,0.9558054456300107,"[-0.539180981939765, 0.4076626982607135]",0.25118141945379846
3531.0,24.0,4.198187068133664e-06,0.0002498920873889086,0.8100527654102256,1.3103523640119459e-11,7.799716452452059e-10,"[0.5754496666967709, 1.0446558641236805]",-0.08492875032886626,0.5800138837481836,0.8912321508115912,"[-0.38573827099483776, 0.21588077033710523]",0.324403930210956
3532.0,24.0,0.009813699077956525,0.026232822983043372,1.0739192174098187,0.0006980577674750294,0.00186596569760767,"[0.45308400012049344, 1.6947544346991439]",-0.11253105446083023,0.7132660349097639,0.9377945485570727,"[-0.7127293232010988, 0.4876672142794384]",0.42983696565082585
3533.0,24.0,2.439390348740837e-06,0.00020254238199260633,1.1810663466624802,2.293987879527668e-12,1.9440575250234475e-10,"[0.8510967112628347, 1.5110359820621257]",-0.24547309420629837,0.09598796186606577,0.4477050460170978,"[-0.5344985237995421, 0.04355233538694536]",0.9376381521358772
3534.0,24.0,0.02477186037623708,0.057542068237484506,0.681785918585612,0.003030544816370161,0.0070395930693848115,"[0.23104528961727122, 1.1325265475539528]",0.21184085699065047,0.544261240794755,0.8781557569200175,"[-0.47287698817726653, 0.8965587021585675]",23.190827531066752
3535.0,24.0,0.0001747747298712683,0.0015398654614208662,0.9705788544512362,2.91564966448253e-07,2.5733889359951722e-06,"[0.5996748567821307, 1.3414828521203415]",-0.13617753447451264,0.5009349665347251,0.8588293466924607,"[-0.5327531370095695, 0.2603980680605443]",0.5201598659924562
3536.0,24.0,0.0012284465230293139,0.005376133579996997,0.9736749209831579,1.754276739826767e-05,7.677359911714515e-05,"[0.5292555037021214, 1.4180943382641944]",-0.5354660319122395,0.023987833427300907,0.22845555645048482,"[-1.0003944660308832, -0.07053759779359575]",2.045329580079252
3537.0,24.0,0.00977814754314228,0.02617277179641938,0.9424444923941314,0.0006953505634412267,0.0018612167115664526,"[0.39778621209237996, 1.487102772695883]",-0.2757663006980007,0.36542076121216804,0.776057176470298,"[-0.8729394633934565, 0.32140686199745516]",1.0533496774620672
3538.0,24.0,0.005067273077763061,0.015299737553632432,1.3054622380570005,0.00023048674045098217,0.0006959140714099703,"[0.6107446644881294, 2.0001798116258716]",-0.2613569883799238,0.3518424316574089,0.7643763451171169,"[-0.8115593977912265, 0.2888454210313789]",0.9983101586946223
3539.0,24.0,4.0560614862254106e-05,0.0007065916633700576,1.3420922215366407,8.463510124348376e-09,1.4770523777222297e-07,"[0.885333770973392, 1.7988506720998894]",-0.10761548746847893,0.5505822785901036,0.8797509260669516,"[-0.460985872889563, 0.24575489795260513]",0.4110608828124562
3540.0,24.0,0.006873227012623342,0.019615373894473008,0.9792526847899844,0.0003882439555908677,0.0011080021563666315,"[0.43829220264519286, 1.5202131669347758]",-0.39843153463453707,0.1687875834694842,0.5695075170693079,"[-0.9659090360754478, 0.16904596680637363]",1.5218963572986306
3541.0,24.0,0.1223923128828289,0.23984384260793434,0.7259222563285935,0.031536825268217945,0.0618005590206113,"[0.06423499691750878, 1.3876095157396784]",-0.5513219449563866,0.243989992097003,0.664374541207554,"[-1.4787937942117089, 0.3761499042989356]",2.1058947065963225
3542.0,24.0,0.01399371103462594,0.035151246005089024,0.7835775049276961,0.001240103457835157,0.0031158378337566755,"[0.308027888076455, 1.259127121778937]",-0.2033987355090634,0.5260366858974312,0.8688577205981232,"[-0.8321237742837561, 0.42532630326562926]",0.776925940197803
3543.0,24.0,0.028280518926436776,0.0644937717820679,0.827491400660766,0.003725061834557167,0.008491137074440772,"[0.26833803372573684, 1.3866447675957951]",0.526707691228272,0.13388620753738179,0.5162245764691585,"[-0.16199243449483525, 1.2154078169513793]",21.98812481703602
3544.0,24.0,0.0023567660081954523,0.0085762955174507,1.0635308355916506,5.9198777318608363e-05,0.00021542495385228663,"[0.5444841514367729, 1.5825775197465284]",0.23927774448221317,0.3530604470802202,0.7652529625396761,"[-0.26571979806807144, 0.7442752870324978]",23.08602634065063
3545.0,24.0,0.0011223715188684517,0.005026294307516577,1.2565064698028567,1.4584680377674684e-05,6.534355007918765e-05,"[0.6883907315013741, 1.8246222081043393]",-0.15258244329960657,0.5237405762950181,0.8675827020877694,"[-0.6216237888054117, 0.31645890220619854]",0.5828220019241096
3546.0,24.0,4.0174092059586325e-05,0.0007035742917615819,1.3512768331333924,8.296712197557601e-09,1.4581216515918454e-07,"[0.8916606651376284, 1.8108930011291564]",0.25328398744984515,0.15818097947976462,0.5538352192046511,"[-0.09848891463451537, 0.6050568895342057]",23.032526433391958
