test,period,n_components,p,q,p_reject,q_reject,RSS,R2,R2_adj,log-likelihood,amplitude,acrophase,mesor,peaks,heights,troughs,heights2,ME,resid_SE
18.0,24.0,1.0,0.9701358050103775,0.9951493500298007,0.0010493080949609546,0.013225003716359632,89.15699097743939,0.002422597731629561,-0.07738359444984022,-55.94499841856307,0.13205110421500876,-1.7862108380770794,19.072614311491392,[6.82282282],[19.20466542],[18.83483483],[18.94056483],3.889355339665285,1.8884595942454199
19.0,24.0,1.0,0.7514313811562786,0.9951493500298007,0.04636736910243211,0.0974809401472591,1041.251410948919,0.022602674655764043,-0.0555891113717748,-90.35391546674163,1.3461853371633055,0.5597632555945777,34.11826363559739,[21.86186186],[35.46443766],[9.8978979],[32.77209361],13.291614079443859,6.453685492643468
2.0,24.0,1.0,0.7580074448048245,0.9951493500298007,0.0006136657715436478,0.013091536459597819,9933.296928920636,0.021921127762696613,-0.05632518201628778,-121.93048385250671,4.062579129787277,-1.2704739059562327,45.92445386490414,[4.85285285],[49.98701982],[16.81681682],[41.86194191],41.05316365374217,19.933185323897067
20.0,24.0,1.0,0.5857166453541129,0.9951493500298007,0.24403435584387723,0.32537914112516964,68.12441457759844,0.041890811212304535,-0.034757923890711195,-52.178115021539824,0.44407057144945483,-0.2641579408423853,38.95364556040228,[1.00900901],[39.39771613],[13.02102102],[38.50957499],3.399783902629607,1.6507503091333764
21.0,24.0,1.0,0.1627040299423036,0.9951493500298007,0.030551937251317995,0.07520476861862892,348.5857353135181,0.13520759897734747,0.06602420689553523,-75.03379475978429,2.092158411691532,-1.7484739893853103,20.18802239468108,[6.67867868],[22.28017339],[18.69069069],[18.09586398],7.690502668667389,3.734090171988449
22.0,24.0,1.0,0.8599850703803632,0.9951493500298007,0.7660491580866526,0.7907604212507382,53.77294815844167,0.011994703079079683,-0.06704572067459402,-48.86620304454757,0.2299926599414377,1.1006580868432705,38.989850387240445,[19.7957958],[39.21983912],[7.78378378],[38.75985773],3.020520902985202,1.466600806742471
23.0,24.0,1.0,0.8858181364979093,0.9951493500298007,0.0012398440984087156,0.013225003716359632,8509.650834482421,0.009652600715667203,-0.06957519122707945,-119.76480245707936,2.586592918032636,1.3396581285578097,94.8961582517981,[18.88288288],[97.4827444],[6.91891892],[92.30960972],37.99756721834391,18.449553744719594
24.0,24.0,1.0,0.8554318204742,0.9951493500298007,0.0009597619418606484,0.013225003716359632,374.76466272266134,0.012414210708552642,-0.06659265243476331,-76.0475914678149,0.5853958965093042,1.9686056067539646,37.475699770361345,[16.48048048],[38.06109567],[4.46846847],[36.89031113],7.974055214125728,3.871767879006495
25.0,24.0,1.0,0.943785646026379,0.9951493500298007,0.0038878526496878285,0.020735214131668418,2918.972864560473,0.004617801696824131,-0.07501277416743002,-104.78523483263771,1.0450320138962361,-2.125842476303003,57.77142600414288,[8.12012012],[58.81645802],[20.13213213],[56.72640046],22.2543518686938,10.80550390229067
26.0,24.0,1.0,0.6929090177964481,0.9951493500298007,0.020538223291099666,0.059249465506963896,297.87955590332723,0.02892204050276448,-0.04876419625701445,-72.83306500704973,0.818963732421647,-1.3585265529036947,28.654752867666154,[5.18918919],[29.47370925],[17.2012012],[27.83578914],7.1091924418238035,3.4518375158939754
