CycID,ARS_qvalue,JTK_qvalue,LS_qvalue,meta2d_qvalue,Cosinor_qvalue,Cosinor1_qvalue,Cosinor1(amp)_qvalue,Rain_qvalue
46,1.5210055437364635e-11,1.1715043262059162e-08,0.002415083728381892,0.0,0.6057986978950632,2.7437582365532445e-11,1.162948236630803e-55,4.4489530314028494e-10
47,1.292516094153485e-10,3.3410367389661e-07,0.002415083728381892,0.0,0.927073194496888,2.4277705042329707e-10,3.367971613731886e-38,5.9192687141291676e-09
48,7.149096129902925e-11,1.0401109510423348e-07,0.002415083728381892,0.0,0.9229423924279936,2.388391319352447e-10,1.8754205270066155e-38,5.9007130128309665e-09
49,1.6314727346866624e-11,5.5732959480622e-09,0.002415083728381892,0.0,0.3541913593012766,8.315720247339844e-11,3.106119263714835e-46,3.7547940679863054e-10
50,0.8467536803092904,1.0,1.0,0.999999893676554,0.6716215943883314,0.8232648971394447,0.3953235912266472,0.2714419877217389
51,0.9852585566075768,1.0,1.0,0.999999893676554,0.3323110539281818,0.9470204704804772,0.7002468622202329,0.9645789054776859
52,0.9852585566075768,1.0,1.0,0.999999893676554,0.6790199489319649,0.9470204704804772,0.6951134497912671,0.9645789054776859
53,0.3827005426280627,1.0,1.0,0.999999893676554,0.8361129457225157,0.5585325281289362,0.2037956243089282,0.420315478093689
54,0.9290119646705741,1.0,1.0,0.999999893676554,0.7860559843018409,0.8823979046507173,0.4549594518001013,0.7915441478922844
55,0.47199565852060577,1.0,1.0,0.999999893676554,0.7139012920446419,0.5299601121469043,0.1873643457744267,0.09701190838140308
56,0.8467536803092904,1.0,1.0,0.999999893676554,6.836878285731983e-10,0.8823979046507173,0.4549709158346699,0.7589709622077864
57,0.9454840582799386,1.0,1.0,0.999999893676554,0.4436506771624502,0.912169182989616,0.5788018803366748,0.9274068080169916
58,0.8206297088886744,1.0,1.0,0.999999893676554,0.927073194496888,0.9089783192955466,0.5317415394793084,0.9645789054776859
59,0.8851416976849921,1.0,1.0,0.999999893676554,0.5438150414197588,0.9082969490333228,0.4850965259037772,0.7915441478922844
60,0.7666589935675211,1.0,1.0,0.999999893676554,0.6790199489319649,0.6748867876834861,0.2729079512174471,0.47860283354639654
61,0.9852585566075768,1.0,1.0,0.999999893676554,0.8481363608671817,0.9470204704804772,0.7002468622202329,0.9645789054776859
62,0.47864268793406217,1.0,1.0,0.999999893676554,0.5438150414197588,0.8063464407258489,0.3619155402868148,0.5495073511804869
63,0.9290119646705741,1.0,1.0,0.999999893676554,0.8492609634730913,0.8823979046507173,0.4549709158346699,0.9036002741081217
64,0.9516145389784765,1.0,1.0,0.999999893676554,0.9557695051911168,0.912169182989616,0.586723648878659,0.9645789054776859
65,0.8120227027564999,1.0,1.0,0.999999893676554,0.602434310412655,0.8063464407258489,0.3619155402868148,0.5094291822337742
66,0.9852585566075768,1.0,1.0,0.999999893676554,0.7577910447520035,0.912169182989616,0.586723648878659,0.9645789054776859
67,0.9760873238331261,1.0,1.0,0.999999893676554,1.737416335095173e-07,0.968714431171852,0.7623263539991677,0.9645789054776859
68,0.8120227027564999,1.0,1.0,0.999999893676554,0.9867825971205292,0.8232648971394447,0.3953235912266472,0.8820004287681945
