CycID,ARS_pvalue,JTK_pvalue,LS_pvalue,meta2d_pvalue,Cosinor_pvalue,Cosinor1_pvalue,Cosinor1(p)_pvalue,Rain_pvalue
44,5.51229516476681e-08,0.0001184471643996,0.0018414651867599,6.5732974618981595e-12,6.030995458594647e-08,7.521629274270843e-20,3.31509772021013e-08,2.87892139691689e-06
45,1.05665572291969e-07,1.21948407725852e-05,0.0018095286827617,1.40432110384836e-12,7.98847298311145e-08,1.5324680285107877e-19,3.844081976543002e-08,2.0990570390804e-07
46,2.99190178187914e-08,5.9781837302054e-06,0.0008946148880257,1.11799458579753e-13,2.596741991434115e-07,2.2127173933228037e-28,1.038054049014138e-09,1.66319569148605e-08
47,2.62638922832181e-08,1.30367136488675e-06,0.0013510743051057,3.45279360658424e-14,4.164181777177589e-09,7.416300635923487e-23,8.644397721764777e-09,2.82937041054107e-09
48,2.88171390860903e-07,1.21948407725852e-05,0.0017321366827614,3.4662273051821996e-12,3.424642791571841e-10,1.4365794155435236e-19,3.7906686729811134e-08,1.03009280621538e-07
49,2.02432029361432e-07,1.21948407725852e-05,0.001190570081024,1.7466028623403e-12,1.006620970800398e-06,6.215199591860507e-23,8.340497392636975e-09,1.38477231023814e-07
50,3.21710055262159e-08,8.57102259918609e-06,0.0010085680966338,1.88626891883814e-13,1.988666347929602e-06,6.95001977906443e-27,1.7713658970380252e-09,3.47099358374474e-07
51,3.78666904166103e-07,2.41503962397589e-05,0.0019820709754974,9.66537960778169e-12,1.1153793000318046e-08,3.5533922994040574e-19,4.589440957738284e-08,2.95965085941347e-07
52,7.39820376072231e-07,4.65159814425002e-05,0.0021002483241162,3.53462814572936e-11,7.414739817690474e-07,2.8834504156090043e-18,7.234415608480262e-08,1.43554311979184e-07
53,2.1158076501937e-07,1.72229016592152e-05,0.0018979711674191,3.90865118049533e-12,8.740688891561987e-07,1.6576160340279385e-19,3.911128833552615e-08,6.38272935727339e-07
54,5.13822003833653e-08,8.71530659140061e-07,0.0011047393963447,3.67483821150927e-14,2.0346369034029976e-08,2.0130239336994536e-25,3.065093581028546e-09,5.447356019707121e-09
55,1.75224980081268e-07,1.21948407725852e-05,0.0013142977266964,1.67332814271504e-12,7.336873109053954e-09,3.035884289456664e-22,1.1187764535175416e-08,5.19334252794604e-07
56,3.4554321115543e-07,8.57102259918609e-06,0.002049741721864,3.4574565432876597e-12,7.398359361077134e-05,7.5514524698103075e-19,5.398829421656362e-08,3.68565315442899e-08
